brand_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Tokopedia,0.082433835,-0.035163376,-0.03853967,0.06737569,-0.07155329,0.06544723,-0.10750605,0.18223213
Shopee,0.082433835,-0.035163376,-0.03853967,0.06737569,-0.07155329,0.06544723,-0.10750605,0.18223213
Bukalapak,0.061115168,-0.005001966,-0.04035537,0.04721146,-0.060564473,0.049742356,-0.082803555,0.12551095
Blibli,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Lazada,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
JD.ID,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Sociolla,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Zalora,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Ralali,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Orami,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165
Indomie,0.074457444,-0.010839894,-0.039059073,0.05087338,-0.07083601,0.05896905,-0.09893202,0.15829158
Mie Sedaap,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094
Pop Mie,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Sosro,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Frestea,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086
Aqua,0.074457444,-0.010839894,-0.039059073,0.05087338,-0.07083601,0.05896905,-0.09893202,0.15829158
