brand,tweet_id,username,user_display,text,created_at,like_count,retweet_count,reply_count,lang,hashtags,mentions,is_retweet
Tokopedia,1931984572239282216,GuardianID,Guardian Indonesia,"Ada promo Super Brand Days nih, produk-produk dari WINGS lagi DISKON s.d. 50% dan ada VOUCHER hingga 100 RIBU! 😍🛍️✨
Hanya berlaku s/d 13 Jun ‘25 di Web, App, Shopee &amp; Tokopedia Guardian Official #SeruDiGuardian https://t.co/HW2zm06Qfb",2025-06-09 07:59:51,0,0,0,in,SeruDiGuardian,,False
Tokopedia,1931526921994793047,lavio_indonesia,Urban Nusantara,"Shopee: https://t.co/R6SHFJMAFx
Tiktok:  https://t.co/Dw5nEwQQ9t
Tokopedia: https://t.co/WsIxS38a6n
Lazada: https://t.co/WqTFHgw9xC

gak becanda promonya
#TegasTanganiRajaAmpat
#RacuninSkincare 
#RuleYourLife
lazada 6.6 super wow sale
diskon brand
banyak voucher yang wow https://t.co/RSqIWlu2xK",2025-06-08 01:41:18,1,0,0,in,"TegasTanganiRajaAmpat,RacuninSkincare,RuleYourLife",,False
Tokopedia,1929389816946332089,Achi_Kiyoisaki,Vendy,"@Urrangawak Tokopedia diakuisisi tiktok.  Strategi Market &amp; Branding : penguasaan pasar digital shopping. 
Tiktok akan sepenuhnya memiliki peran n fungsi dipasar digital indonesia, tanpa ada tekanan dan persaingan dipasar gital dindonesia. 

Rm -f = Brand tokopedia &lt;&gt; Brand Tik tok shop.",2025-06-02 04:09:13,0,1,1,in,,Urrangawak,False
Tokopedia,1925150550318006422,virtualballers,Virtual Footballers,"Buat yang lagi nyari laptop baru, ada promo Brand Day dari HP Indonesia di Tokopedia tanggal 21-22!

Ada jejeran laptop HP Victus buat gaming, sampe HP Pavilion buat produktivitas!

Cek sekarang di
https://t.co/o5V6ISX5xb #ad https://t.co/UsKEI3PUss",2025-05-21 11:23:53,20,0,1,in,ad,,False
Tokopedia,1924476481595687230,grok,Grok,"Untuk nama brand baru di Indonesia, pilih nama yang mudah diucap, pendek, dan bermakna positif, seperti ""Tokopedia"" (toko + pedia). Pastikan nama unik dan belum terdaftar di database merek Indonesia. Gunakan bahasa lokal untuk daya tarik, misalnya ""Bukalapak"" (buka lapak), tapi tetap fleksibel untuk ekspansi global seperti ""Shopee"". Periksa aturan hukum: gunakan huruf Latin, minimal tiga kata untuk nama perusahaan. Uji nama dengan audiens target dan daftarkan sebagai merek dagang untuk perlindungan.",2025-05-19 14:45:22,0,0,0,in,,"fidayy12,kegblgnunfaedh",False
Tokopedia,1924295103629459476,GuardianID,Guardian Indonesia,"Promo Super Brand Day balik lagi dengan DISKON HINGGA 40% dari brand Wardah, Emina, Instaperfect, Make Over, dan Tavi!👀✨ Hanya berlaku s/d 23 Mei ‘25 di Web, App, Shopee &amp; Tokopedia Guardian Official #SeruDiGuardian https://t.co/vl6ZFFrVVl",2025-05-19 02:44:39,0,0,1,in,SeruDiGuardian,,False
Tokopedia,1911688512396775677,GuardianID,Guardian Indonesia,"Ada promo Super Brand Day, produk Azarine &amp; Wonderlux diskon hingga 30%! Plus free gift &amp; extra voucher😍🔥👀 Hanya berlaku s/d 18 Apr ‘2025 di Web, App, Shopee &amp; Tokopedia Guardian Official 🛍️ #SeruDiGuardian https://t.co/qBHiXKuRql",2025-04-14 07:50:33,0,0,0,in,SeruDiGuardian,,False
Tokopedia,1909050118759739873,grok,Grok,"Mencari facial wash Indonesia dengan salicylic acid dan niacinamide agak sulit. Brand besar seperti Wardah dan Mustika Ratu punya produk dengan salah satu bahan, tapi belum ada yang keduanya. Coba cek Shopee atau Tokopedia untuk brand lokal kecil seperti Avoskin atau The Bath Box, lihat daftar bahan atau tanya penjual. Alternatifnya, tanya komunitas skincare atau dermatologis lokal untuk saran produk yang sesuai.",2025-04-07 01:06:31,0,0,0,in,,penetanmaslihin,False
Tokopedia,1904045994133864578,milodarkco,mey Nov🪄😶‍🌫️,"@tokopedia Ada promo:
- Flash Sale Raya 50%
- Gratis ongkir Rp0 seluruh Indonesia
- Pasti Diskon 50% .
ada cashback dan diskon spesial Super Brand Day, belanja jadi makin puas #RamadanEkstraSeru  
@tokopedia .",2025-03-24 05:41:55,0,0,0,in,RamadanEkstraSeru,"tokopedia,tokopedia",False
Tokopedia,1904045842321039491,milodarkco,mey Nov🪄😶‍🌫️,"@tokopedia Ada promo:
- Flash Sale Raya 50%
- Gratis ongkir Rp0 seluruh Indonesia
- Pasti Diskon 50% .
ada cashback dan diskon spesial Super Brand Day, belanja jadi makin puas #RamadanEkstraSeru  
@tokopedia",2025-03-24 05:41:18,0,0,0,in,RamadanEkstraSeru,"tokopedia,tokopedia",False
