brand,brand_top1_positive,brand_top1_neutral,brand_top1_negative,brand_top1_name,brand_top2_positive,brand_top2_neutral,brand_top2_negative,brand_top2_name,brand_top3_positive,brand_top3_neutral,brand_top3_negative,brand_top3_name
Tokopedia,0.9469957815276252,0.9497646829661202,0.0,"diskon, brand, promo",0.8403654519249412,0.8663931753900316,0.9118617177009583,"the, and, to",0.9172526597976685,0.9424058752400535,0.0,"dennysantoso, indonesia, tarikuang"
Shopee,0.8279061019420624,0.9768752327987126,0.0,"diskon, brand, promo",0.0,0.5248448848724365,0.0,"the, and, to",0.0,0.0,0.0,"yg, ga, aja"
Bukalapak,0.8853563991459933,0.9740145206451416,0.0,"diskon, brand, promo",0.9830515682697296,0.960573102746691,0.0,"dennysantoso, indonesia, tarikuang",0.9522572532296181,0.8373803098996481,0.0,"the, and, to"
Blibli,0.918410561978817,0.9705877520143986,0.0,"diskon, brand, promo",0.9990580677986145,0.9259781420230866,0.0,"dennysantoso, indonesia, tarikuang",0.9854209870100021,0.8905367106199265,0.6341651678085327,"the, and, to"
Lazada,0.9359814524650574,0.9115050799316831,0.0,"diskon, brand, promo",0.9514510730902354,0.921296755472819,0.0,"dennysantoso, indonesia, tarikuang",0.7786125093698502,0.9620764255523682,0.0,"the, and, to"
JD.ID,0.9007896099771772,0.961136861094113,0.0,"diskon, brand, promo",0.9709765513737997,0.0,0.0,"the, and, to",0.9686834812164307,0.8236575722694397,0.0,"dennysantoso, indonesia, tarikuang"
Sociolla,0.8795055598020554,0.9155018585068839,0.0,"diskon, brand, promo",0.850391685962677,0.9764869928359985,0.0,"yg, ga, aja",0.9954432547092438,0.9164963841438294,0.0,"the, and, to"
Zalora,0.9422724595883998,0.9094276487827301,0.477964848279953,"diskon, brand, promo",0.9680422147115072,0.9633403196930885,0.9449501434961954,"the, and, to",0.8704819877942404,0.0,0.9661857485771179,"yg, ga, aja"
Ralali,0.0,0.9962630867958069,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Orami,0.9186149835586548,0.9335937358084179,0.0,"diskon, brand, promo",0.8879207968711853,0.9357064366340637,0.0,"yg, ga, aja",0.0,0.9979179501533508,0.0,"the, and, to"
Indomie,0.9133348171527569,0.9023394867777824,0.6031939387321472,"the, and, to",0.9304287841445521,0.9295162883671847,0.9982805252075195,"yg, ga, aja",0.9701490327715874,0.8132513046264649,0.9672616124153137,"dennysantoso, indonesia, tarikuang"
Mie Sedaap,0.9712616530331698,0.8202592134475708,0.47250106930732727,"the, and, to",0.9974583983421326,0.7498378157615662,0.0,"yg, ga, aja",0.0,0.946527898311615,0.0,"chef, zahra, gozali"
Pop Mie,0.9986124237378439,0.5309621095657349,0.0,"the, and, to",0.0,0.9655075967311859,0.0,"chef, zahra, gozali",0.0,0.9977940320968628,0.0,"diskon, brand, promo"
Sosro,0.9657239317893982,0.0,0.965862900018692,"yg, ga, aja",0.6988053321838379,0.0,0.0,"the, and, to",0.0,0.9986164569854736,0.0,"chef, zahra, gozali"
Frestea,0.9930600166320801,0.0,0.0,"the, and, to",0.9909743666648865,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Aqua,0.948048260062933,0.9298577043745253,0.8976482599973679,"yg, ga, aja",0.9687011506822374,0.9498892575502396,0.8759824633598328,"the, and, to",0.9847850707861093,0.8040236383676529,0.6686556140581766,"dennysantoso, indonesia, tarikuang"
Le Minerale,0.9106609225273132,0.907768040895462,0.8733948916196823,"yg, ga, aja",0.9634374976158142,0.9906700253486633,0.5993169546127319,"diskon, brand, promo",0.991887241601944,0.8019689321517944,0.0,"the, and, to"
Ultra Milk,0.9817437827587128,0.6524491906166077,0.7098668813705444,"the, and, to",0.947456669807434,0.9750052765011787,0.0,"diskon, brand, promo",0.0,0.0,0.8691549301147461,"yg, ga, aja"
SariWangi,0.8558645149072012,0.9976129531860352,0.0,"the, and, to",0.9698250889778137,0.9385327100753784,0.935955822467804,"yg, ga, aja",0.5722523927688599,0.9236968159675598,0.0,"award, penghargaan, best"
Good Day,0.9463974918637957,0.8294072998197455,0.0,"the, and, to",0.9465963661670684,0.778291289622967,0.0,"diskon, brand, promo",0.9227064549922943,0.9656269550323486,0.993346095085144,"dennysantoso, indonesia, tarikuang"
Kopi Kapal Api,0.0,0.9741719365119934,0.0,"diskon, brand, promo",0.924799382686615,0.9455958008766174,0.0,"yg, ga, aja",0.9868448376655579,0.0,0.0,"the, and, to"
Torabika,0.8852568984031677,0.9635405540466309,0.0,"the, and, to",0.9479650557041168,0.0,0.0,"yg, ga, aja",0.0,0.0,0.0,"diskon, brand, promo"
