,brand,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
0,tokopedia,-0.32189322,-0.17839968,-0.0837798,0.038575493,0.070962,-0.1917762,0.044573177,-0.36079055,0.008977089,-0.3675049,-0.024505619,0.19057965,-0.2577578,-0.11223861,-0.049254417,0.64385605,0.102940336,0.15956494,-0.11785868,-0.026936838,-0.13901249,-0.16478644,-0.011450274,0.11285558,0.10008293,0.23125397,-0.23314221,-0.29775828,0.12092394,0.023664944,0.06718337,0.29231343,0.020860612,0.27006012,0.12748513,0.024616398,-0.26411158,-0.29010078,-0.14937991,0.022868067,0.21197018,-0.07948572,-0.19961965,0.05227355,-0.20187101,-0.43586946,-0.12964928,0.02675377,0.1264582,-0.02451373,-0.24777332,-0.13861316,0.24416068,0.10818429,0.36426103,0.04058405,0.13085821,-0.19036447,0.11351925,-0.39781618,0.026932463,-0.0553495,-0.083023444,0.14694378,brand
1,shopee,-0.26819664,-0.18886542,-0.09072428,0.039626457,0.046780683,-0.2072919,0.063597694,-0.39227763,-0.07851091,-0.371279,-0.10057439,0.14374386,-0.15117237,-0.08319273,0.014472626,0.48230207,0.14026439,0.10473737,-0.050989166,0.006884183,-0.17155601,-0.16841331,-0.018945886,0.1878013,0.07794277,0.16155744,-0.16926643,-0.2862643,0.10922856,0.07196328,0.033319946,0.21745184,-0.05264447,0.36594993,0.16159832,0.100673825,-0.30191225,-0.2140604,-0.16654727,0.002093657,0.16372837,0.055283234,-0.18653853,-0.05056171,-0.201641,-0.44941375,-0.045418333,0.10449746,0.08337979,-0.14554816,-0.11649252,-0.06881874,0.18751392,0.090080395,0.3868187,0.017755294,0.13662282,-0.17615625,0.13178793,-0.3124628,0.095047936,-0.023129009,-0.047086332,0.1042326,brand
2,bukalapak,-0.050552957,0.16051336,0.16316491,-0.14243525,-0.2297262,-0.43321508,-0.072055936,0.02954002,-0.28139102,0.11225957,0.038755022,-0.23195332,0.3515434,0.07785988,0.05872011,-0.26655284,-0.18650648,-0.012620646,0.5398626,-0.009789277,-0.17852756,-0.020271787,0.019899655,-0.030718774,0.12234017,0.16265875,0.501098,-0.17018816,0.2642196,0.039318494,-0.057509158,0.047926787,0.15258399,-0.12589733,-0.23094082,-0.29653624,-0.13825396,0.18849212,0.014970505,0.455743,-0.029575521,0.2302598,-0.29083776,-0.20013672,-0.038980104,0.18735522,-0.18385738,0.022678513,-0.27352148,0.24664004,0.532742,0.13047081,-0.34355706,0.06550023,0.0067747254,-0.054060966,-0.3212541,0.08854617,-0.0775844,0.06663836,0.50267863,-0.011783322,-0.018159434,-0.21160111,brand
3,blibli,-0.08406221,0.13753971,0.104025185,-0.11620255,-0.23904625,-0.4923761,-0.21093658,-0.07171011,-0.10031721,0.117655605,0.2056448,-0.097254455,0.2820596,0.07352386,-0.22558746,-0.18655989,-0.26993102,-0.13322768,0.29423445,0.082126334,-0.15769058,0.060381588,-0.09530206,-0.11773134,0.06870526,0.17926717,0.48972958,-0.30484307,0.11336081,-0.050854687,-0.1055251,0.08461082,0.09961431,-0.1739591,-0.26871237,-0.49794096,-0.081883825,0.18230832,-0.082287505,0.5642301,-0.044227645,0.2219376,-0.3210308,-0.102183476,-0.1409761,0.03271523,-0.114798635,-0.09457665,-0.002180859,0.28494483,0.45929915,-0.0340484,-0.21073607,0.32774752,-0.06776607,-0.022823099,-0.16146937,-0.030708298,0.07392494,0.10525666,0.28926414,-0.037374742,0.040856205,-0.061975174,brand
4,lazada,-0.0041261725,0.23678678,0.11808774,-0.1405114,-0.22444749,-0.5154409,-0.24744582,-0.12422635,-0.10268501,0.07233767,0.13965286,-0.13000175,0.30492622,-0.0033719689,-0.079031914,-0.22164096,-0.26160473,-0.14428183,0.36855406,0.042964667,-0.18590328,0.00025823945,-0.0724114,0.0067930697,0.051483095,0.1610479,0.56055707,-0.31300497,0.21681285,-0.034573846,-0.19999403,0.055867806,0.13208012,-0.09936669,-0.29231137,-0.35940325,-0.16142395,0.23955014,-0.06059768,0.5610394,-0.10980279,0.3274339,-0.37391573,-0.15776154,-0.10500017,0.13514155,-0.1322799,-0.03901747,-0.055224568,0.25229928,0.5175694,0.14862393,-0.19612661,0.342524,-0.003013195,0.0005616797,-0.31240988,-0.04099027,0.078161746,-0.003478332,0.41339272,-0.007351654,0.031874847,-0.0899543,brand
5,jd.id,-0.041516155,0.23125325,0.17085627,-0.117669165,-0.15477596,-0.3988371,-0.068946436,-0.0779973,-0.09838515,0.108816154,0.072518915,-0.14308187,0.26973426,0.068945736,-0.10530253,-0.18194422,-0.14951774,-0.17122447,0.38309616,0.054107726,-0.1448121,-0.057304315,-0.056783944,0.033017047,0.10000624,0.01567144,0.4173141,-0.1541824,0.12101938,0.049485177,-0.19568175,-0.013099671,0.081633605,-0.0006427574,-0.11013517,-0.36719084,-0.036426917,0.118255846,-0.006348048,0.42255563,-0.030741915,0.2858203,-0.2814154,-0.21284759,-0.038463634,0.063597515,-0.02751792,-0.073480174,-0.05508762,0.2404246,0.5218025,0.11085871,-0.1415058,0.18990928,0.055235937,0.025996529,-0.1816679,-0.051453292,-0.024488814,0.018245416,0.3711432,-0.11983407,0.06660724,-0.11657897,brand
6,sociolla,-0.07348636,0.1425343,0.094996035,-0.0809771,-0.19973522,-0.48071194,-0.1517913,-0.06885837,-0.11866148,0.062843025,0.078919575,-0.12496742,0.30151993,0.022867473,-0.03381712,-0.23921862,-0.15147327,-0.0654523,0.42922994,0.021583887,-0.18573357,0.0034486395,-0.06255245,-0.022106478,0.076027945,0.06904006,0.44086587,-0.15661155,0.23059058,0.06020569,-0.15089124,-0.00040104566,0.11143605,0.0007724955,-0.16649462,-0.28654462,-0.12426059,0.17898194,-0.05628079,0.44821316,-0.044428818,0.29313996,-0.2957492,-0.19639212,-0.051496528,0.06704068,-0.09917351,-0.043841098,-0.17324269,0.20759907,0.5609728,0.16606414,-0.20901753,0.198124,0.041090883,0.053682514,-0.21227935,-0.0062450594,0.0013793027,-0.025759071,0.39879775,-0.043302476,0.025705136,-0.13395463,brand
7,zalora,-0.04078787,0.24965517,0.23169714,-0.0995913,-0.040541947,-0.34481695,-0.04264704,-0.08798785,-0.02268279,0.07374683,0.1317683,-0.15107954,0.16060531,0.09657826,-0.14859326,-0.06736684,-0.1169029,-0.08340662,0.2942267,0.027127005,-0.17603266,-0.019811831,-0.013007593,-0.0033933711,0.07847585,0.046404,0.28553227,-0.17677337,0.13991776,-0.002564616,-0.1656611,0.0531668,0.06593905,0.0105651915,-0.06061394,-0.41183048,-0.009567572,0.06291339,-0.018965341,0.46175528,0.04592935,0.1760306,-0.28453538,-0.09551263,-0.049142003,-0.002182213,-0.031767644,-0.063455276,-0.011165976,0.3112307,0.45517492,0.043804348,-0.1326656,0.1607886,0.042178057,0.030931741,-0.101044774,-0.09394178,-0.12144333,0.040159732,0.34960097,-0.11880705,0.014278324,-0.09820481,brand
8,ralali,-0.07257885,0.16636808,0.19719061,-0.18018892,-0.14608961,-0.37624544,-0.09038915,-0.039368957,-0.09230058,0.08539809,0.040223904,-0.14704391,0.29627696,0.13275039,-0.11362286,-0.24187776,-0.08894104,-0.12362575,0.37276396,0.036913432,-0.19057962,0.032309927,-0.056071643,0.035659492,0.1295214,0.040103525,0.42509806,-0.19234538,0.14168984,0.113570124,-0.21611857,-0.014868129,0.059320934,0.12221749,-0.059702888,-0.3231479,-0.07391918,0.19549777,-0.040209666,0.45111874,-0.033196516,0.30528846,-0.1881257,-0.1815285,-0.12738732,-0.0076226485,-0.00086438586,0.004095484,-0.1189767,0.16538152,0.55385864,0.07175546,-0.17292343,0.11026169,0.029982194,-0.06747075,-0.11652268,-0.0063178884,-0.039001536,0.11190306,0.37998444,-0.05678957,0.043934815,-0.11010066,brand
9,orami,0.011877099,0.1026825,0.19766162,-0.11673422,-0.13085887,-0.43831152,-0.17697334,0.011528367,-0.13963573,-0.021497173,0.13643354,-0.010613611,0.38636816,0.17565934,-0.0889439,-0.32732618,-0.17242736,-0.05259402,0.4099589,0.2773326,-0.08073191,0.11332273,-0.0406004,0.08189283,0.001396155,0.11065583,0.29614353,-0.15763324,0.0741351,0.11671221,-0.27552313,0.052072804,-0.031029277,0.010536198,0.079583645,-0.31625047,-0.107801676,0.17947134,-0.07951602,0.52533734,-0.08495492,0.43544585,-0.28207433,-0.23620175,-0.12368652,0.053279996,0.115773976,-0.15258172,-0.06532644,0.0102939755,0.6118987,0.028402861,-0.18119064,0.25386938,-0.068875246,-0.027979976,-0.13539921,-0.06656081,0.05546214,0.14640978,0.38155323,0.017240401,0.13072711,-0.02670158,brand
