brand_name,topic-1_brand_positive,topic0_brand_positive,topic1_brand_positive,topic2_brand_positive,topic3_brand_positive,topic4_brand_positive,topic5_brand_positive,topic6_brand_positive,topic7_brand_positive,topic8_brand_positive,topic9_brand_positive,topic10_brand_positive,topic11_brand_positive,topic12_brand_positive,topic13_brand_positive,topic14_brand_positive,topic15_brand_positive,topic16_brand_positive,topic17_brand_positive,topic18_brand_positive,topic19_brand_positive,topic20_brand_positive,topic21_brand_positive,topic22_brand_positive,topic23_brand_positive,topic24_brand_positive,topic25_brand_positive,topic26_brand_positive,topic27_brand_positive,topic28_brand_positive,topic29_brand_positive,topic30_brand_positive,topic31_brand_positive,topic32_brand_positive,topic33_brand_positive,topic34_brand_positive,topic35_brand_positive,topic36_brand_positive,topic37_brand_positive,topic38_brand_positive,topic39_brand_positive,topic40_brand_positive,topic41_brand_positive,topic42_brand_positive,topic43_brand_positive,topic44_brand_positive,topic45_brand_positive,topic46_brand_positive,topic47_brand_positive,topic48_brand_positive,topic49_brand_positive,topic50_brand_positive,topic51_brand_positive,topic52_brand_positive,topic53_brand_positive,topic54_brand_positive,topic55_brand_positive,topic56_brand_positive,topic57_brand_positive,topic58_brand_positive,topic-1_brand_neutral,topic0_brand_neutral,topic1_brand_neutral,topic2_brand_neutral,topic3_brand_neutral,topic4_brand_neutral,topic5_brand_neutral,topic6_brand_neutral,topic7_brand_neutral,topic8_brand_neutral,topic9_brand_neutral,topic10_brand_neutral,topic11_brand_neutral,topic12_brand_neutral,topic13_brand_neutral,topic14_brand_neutral,topic15_brand_neutral,topic16_brand_neutral,topic17_brand_neutral,topic18_brand_neutral,topic19_brand_neutral,topic20_brand_neutral,topic21_brand_neutral,topic22_brand_neutral,topic23_brand_neutral,topic24_brand_neutral,topic25_brand_neutral,topic26_brand_neutral,topic27_brand_neutral,topic28_brand_neutral,topic29_brand_neutral,topic30_brand_neutral,topic31_brand_neutral,topic32_brand_neutral,topic33_brand_neutral,topic34_brand_neutral,topic35_brand_neutral,topic36_brand_neutral,topic37_brand_neutral,topic38_brand_neutral,topic39_brand_neutral,topic40_brand_neutral,topic41_brand_neutral,topic42_brand_neutral,topic43_brand_neutral,topic44_brand_neutral,topic45_brand_neutral,topic46_brand_neutral,topic47_brand_neutral,topic48_brand_neutral,topic49_brand_neutral,topic50_brand_neutral,topic51_brand_neutral,topic52_brand_neutral,topic53_brand_neutral,topic54_brand_neutral,topic55_brand_neutral,topic56_brand_neutral,topic57_brand_neutral,topic58_brand_neutral,topic-1_brand_negative,topic0_brand_negative,topic1_brand_negative,topic2_brand_negative,topic3_brand_negative,topic4_brand_negative,topic5_brand_negative,topic6_brand_negative,topic7_brand_negative,topic8_brand_negative,topic9_brand_negative,topic10_brand_negative,topic11_brand_negative,topic12_brand_negative,topic13_brand_negative,topic14_brand_negative,topic15_brand_negative,topic16_brand_negative,topic17_brand_negative,topic18_brand_negative,topic19_brand_negative,topic20_brand_negative,topic21_brand_negative,topic22_brand_negative,topic23_brand_negative,topic24_brand_negative,topic25_brand_negative,topic26_brand_negative,topic27_brand_negative,topic28_brand_negative,topic29_brand_negative,topic30_brand_negative,topic31_brand_negative,topic32_brand_negative,topic33_brand_negative,topic34_brand_negative,topic35_brand_negative,topic36_brand_negative,topic37_brand_negative,topic38_brand_negative,topic39_brand_negative,topic40_brand_negative,topic41_brand_negative,topic42_brand_negative,topic43_brand_negative,topic44_brand_negative,topic45_brand_negative,topic46_brand_negative,topic47_brand_negative,topic48_brand_negative,topic49_brand_negative,topic50_brand_negative,topic51_brand_negative,topic52_brand_negative,topic53_brand_negative,topic54_brand_negative,topic55_brand_negative,topic56_brand_negative,topic57_brand_negative,topic58_brand_negative
tokopedia,0.9283059606185327,0.8403654519249412,0.9469957815276252,0.821318519115448,0.0,0.9172526597976685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914436437189579,0.8663931753900316,0.9497646829661202,0.8761961162090302,0.0,0.9424058752400535,0.0,0.0,0.0,0.9557508528232574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9315716524918874,0.9118617177009583,0.0,0.9895172715187073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707139790058136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shopee,0.9963051010580624,0.0,0.8279061019420624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962416410446167,0.5248448848724365,0.9768752327987126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bukalapak,0.9787754687395963,0.9522572532296181,0.8853563991459933,0.995694637298584,0.0,0.9830515682697296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7059004306793213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668447724704085,0.8373803098996481,0.9740145206451416,0.8991360267003378,0.0,0.960573102746691,0.0,0.0,0.0,0.9978095889091492,0.0,0.0,0.0,0.0,0.0,0.9882785081863403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8279978632926941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971494078636169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714470903078715,0.0,0.0,0.9972447156906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blibli,0.9138579263406641,0.9854209870100021,0.918410561978817,0.9028511285781861,0.0,0.9990580677986145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7458483576774597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9220287203788757,0.8905367106199265,0.9705877520143986,0.9953640699386597,0.0,0.9259781420230866,0.0,0.0,0.0,0.9978095889091492,0.0,0.991718053817749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658768177032471,0.6341651678085327,0.0,0.5884001851081848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865202903747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazada,0.9608665704727173,0.7786125093698502,0.9359814524650574,0.0,0.0,0.9514510730902354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990731477737427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9145537447929383,0.9620764255523682,0.9115050799316831,0.503062903881073,0.0,0.921296755472819,0.0,0.0,0.0,0.9561556875705719,0.0,0.9971919655799866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911905527114868,0.0,0.0,0.9388642907142639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jd.id,0.8846235600384799,0.9709765513737997,0.9007896099771772,0.0,0.0,0.9686834812164307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935681644607993,0.0,0.961136861094113,0.0,0.0,0.8236575722694397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964547872543335,0.0,0.0,0.5884001851081848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sociolla,0.9954984982808431,0.9954432547092438,0.8795055598020554,0.850391685962677,0.0,0.8086469769477844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987662434577942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82179094851017,0.9164963841438294,0.9155018585068839,0.9764869928359985,0.0,0.9958409667015076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881092011928558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727684855461121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zalora,0.8644347580579611,0.9680422147115072,0.9422724595883998,0.8704819877942404,0.0,0.9980372786521912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9044536153475443,0.9633403196930885,0.9094276487827301,0.0,0.0,0.8089236319065094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947584350903829,0.9449501434961954,0.477964848279953,0.9661857485771179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ralali,0.9878553748130798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727645516395569,0.9962630867958069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orami,0.9383913448878697,0.0,0.9186149835586548,0.8879207968711853,0.0,0.0,0.0,0.0,0.8616628050804138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9158583391796459,0.9979179501533508,0.9335937358084179,0.9357064366340637,0.0,0.9857797622680664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
