influencer,influencer_topic_num,influencer_topic_name,influencer_positive,influencer_neutral,influencer_negative
Ayu Tingting,-1,"yg, indonesia, brand",0.9062415671348572,0.9154562550048305,0.8926341757178307
Ayu Tingting,0,"the, and, to",0.8374517957369486,0.9539631605148315,0.0
Ayu Tingting,1,"diskon, brand, promo",0.947586715221405,0.8570856849352518,0.9857305288314819
Ayu Tingting,2,"yg, ga, aja",0.984041690826416,0.8339873552322388,0.8864662289619446
Ayu Tingting,3,"chef, zahra, gozali",0.0,0.9974892139434814,0.0
Ayu Tingting,4,"dennysantoso, indonesia, tarikuang",0.7034301161766052,0.0,0.0
Ayu Tingting,5,"habib, ustadz, ust",0.0,0.0,0.0
Ayu Tingting,6,"de, la, su",0.0,0.0,0.0
Ayu Tingting,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Ayu Tingting,8,"award, penghargaan, best",0.0,0.0,0.0
Ayu Tingting,9,"sibungbung, miawaug, jess",0.0,0.9130122661590576,0.0
Ayu Tingting,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Ayu Tingting,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Ayu Tingting,12,"bernapas, rip, dewa",0.0,0.0,0.0
Ayu Tingting,13,"高仿包包, 时尚, 衣服",0.8909130394458771,0.0,0.0
Ayu Tingting,14,"ni, nak, tu",0.0,0.0,0.0
Ayu Tingting,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Ayu Tingting,16,"kh, nafis, cholil",0.0,0.0,0.0
Ayu Tingting,17,"tingting, ayu, iki",0.8912636131048203,0.8328061103820801,0.6606361865997314
Ayu Tingting,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Ayu Tingting,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Ayu Tingting,20,"chika, kinsky, yumi",0.0,0.0,0.0
Ayu Tingting,21,"kau, nagara, wira",0.0,0.0,0.0
Ayu Tingting,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Ayu Tingting,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Ayu Tingting,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Ayu Tingting,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Ayu Tingting,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Ayu Tingting,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Ayu Tingting,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Ayu Tingting,29,"bawang, masukkan, gr",0.0,0.0,0.0
Ayu Tingting,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Ayu Tingting,31,"jet, lion, air",0.0,0.0,0.0
Ayu Tingting,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Ayu Tingting,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Ayu Tingting,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Ayu Tingting,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Ayu Tingting,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Ayu Tingting,37,"telenovelena, mom, blm",0.0,0.0,0.0
Ayu Tingting,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Ayu Tingting,39,"mah, teu, kang",0.0,0.9830906987190247,0.0
Ayu Tingting,40,"siauw, felix, skakmat",0.0,0.0,0.0
Ayu Tingting,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Ayu Tingting,42,"2017, polytron, global",0.0,0.0,0.0
Ayu Tingting,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Ayu Tingting,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Ayu Tingting,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Ayu Tingting,46,"cha, eun, ambassador",0.0,0.0,0.0
Ayu Tingting,47,"axioo, diakui, asli",0.0,0.0,0.0
Ayu Tingting,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Ayu Tingting,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Ayu Tingting,50,"qr, livin, kopi",0.0,0.0,0.0
Ayu Tingting,51,"australia, bekti, pindah",0.0,0.0,0.0
Ayu Tingting,52,"ampat, tambang, raja",0.0,0.0,0.0
Ayu Tingting,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Ayu Tingting,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Ayu Tingting,55,"posted, photo, just",0.0,0.0,0.0
Ayu Tingting,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Ayu Tingting,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Ayu Tingting,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Atta Halilintar,-1,"yg, indonesia, brand",0.9023976371838496,0.7214002714437597,0.9675963521003723
Atta Halilintar,0,"the, and, to",0.6267856359481812,0.8971827030181885,0.9751763641834259
Atta Halilintar,1,"diskon, brand, promo",0.9535307884216309,0.9321210831403732,0.9126850366592407
Atta Halilintar,2,"yg, ga, aja",0.9361544559741842,0.7674544390290976,0.8778471881928651
Atta Halilintar,3,"chef, zahra, gozali",0.9136902093887329,0.9974579215049744,0.0
Atta Halilintar,4,"dennysantoso, indonesia, tarikuang",0.9888227581977844,0.0,0.0
Atta Halilintar,5,"habib, ustadz, ust",0.9834170937538147,0.0,0.0
Atta Halilintar,6,"de, la, su",0.5697733163833618,0.9544828023229327,0.0
Atta Halilintar,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Atta Halilintar,8,"award, penghargaan, best",0.0,0.0,0.0
Atta Halilintar,9,"sibungbung, miawaug, jess",0.0,0.9956433773040771,0.8481795191764832
Atta Halilintar,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Atta Halilintar,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Atta Halilintar,12,"bernapas, rip, dewa",0.0,0.0,0.0
Atta Halilintar,13,"高仿包包, 时尚, 衣服",0.769264280796051,0.0,0.0
Atta Halilintar,14,"ni, nak, tu",0.0,0.9923353791236877,0.9436596035957336
Atta Halilintar,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Atta Halilintar,16,"kh, nafis, cholil",0.0,0.0,0.0
Atta Halilintar,17,"tingting, ayu, iki",0.0,0.0,0.0
Atta Halilintar,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Atta Halilintar,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Atta Halilintar,20,"chika, kinsky, yumi",0.0,0.0,0.0
Atta Halilintar,21,"kau, nagara, wira",0.0,0.0,0.0
Atta Halilintar,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
