influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Ayu Tingting,-0.32090178,-0.24550901,0.41733935,-0.010958606,-0.20020021,-0.011881329,0.08156702,-0.2552901,0.3753233,0.48390767,0.40680528,0.42814758,0.23165932,-0.23047166,0.4629184,0.028085703
Atta Halilintar,-0.35650155,-0.20879969,0.3422446,0.15630354,-0.15201558,-0.055140138,0.06424295,-0.26517022,0.2819502,0.34433272,0.40554032,0.41473487,0.21409057,-0.18752931,0.68415433,0.0027733846
Prilly Latuconsina,-0.35324052,-0.2632497,0.45869052,-0.009914568,-0.20719384,-0.031448722,0.09611982,-0.27165958,0.39800924,0.49299696,0.43178287,0.45078498,0.24366267,-0.24736683,0.5094808,0.015617041
Raditya Dika,-0.44847456,-0.26353133,0.42258584,0.18652758,-0.17240281,-0.040020514,0.09689542,-0.32951728,0.36817878,0.48792756,0.49419826,0.5090551,0.20575927,-0.25968394,0.86935407,0.016944347
Iqbaal Ramadhan,-0.45500115,-0.24723494,0.40923628,0.18110313,-0.150617,-0.054075345,0.095930986,-0.31897876,0.3671361,0.46314123,0.47846463,0.48998886,0.17792518,-0.25821945,0.8630403,-0.0064588687
Michelle Ziudith,-0.68393475,-0.13254368,-0.15711482,-0.023997266,0.05185819,-0.31914338,-0.4111868,-0.05913587,0.16632485,0.106592484,0.24774277,0.5100563,-0.6197636,-0.59259117,0.7498476,-0.43988028
Chelsea Olivia,-0.44438592,-0.25002027,0.39988723,0.17842907,-0.1434493,-0.038090296,0.09810429,-0.31203997,0.37331104,0.49951088,0.4694992,0.48973364,0.15197489,-0.26177573,0.8670265,0.014952909
Dinda Hauw,-0.4203985,-0.22968526,0.37454703,0.16368939,-0.13090166,-0.05480311,0.08502124,-0.2874814,0.3454451,0.44223297,0.44135556,0.45773798,0.14996907,-0.23948623,0.8087264,-0.00255794
Lyodra Ginting,-0.30588144,-0.21973926,0.3835205,-0.018662248,-0.17517473,-0.04305318,0.07294993,-0.22645627,0.3414383,0.40348044,0.37172905,0.3827329,0.20984384,-0.20868877,0.42050606,-0.008811943
Gisella Anastasia,-0.2830335,-0.21370186,0.3630965,-0.01958877,-0.16634825,-0.017911483,0.071129106,-0.21678568,0.34031564,0.43275937,0.3530107,0.3731367,0.18521284,-0.20599405,0.40355107,0.018510602
Natasha Wilona,-0.48204023,-0.26962233,0.43549633,0.17244497,-0.15136828,-0.061897486,0.10197181,-0.3266818,0.39238378,0.511534,0.5090613,0.52206796,0.16500771,-0.28395748,0.91723603,-0.012410001
Ariel Noah,-0.41989246,-0.23465627,0.39033356,0.18481933,-0.16748525,-0.0522586,0.08429703,-0.31128308,0.33067223,0.40281093,0.4610979,0.46745324,0.22647496,-0.22447386,0.7954917,-0.00063081196
Cinta Laura,-0.4909552,-0.25829434,0.41572878,0.18449515,-0.12806799,-0.04157152,0.10905202,-0.32783005,0.41048336,0.550668,0.49843085,0.51720804,0.11729116,-0.29469693,0.94791365,-0.0015717011
