,influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
0,ayu tingting,-0.044680543,0.023118917,0.061681252,-0.08128246,-0.006732998,0.13396141,-0.007405244,0.013853844,-0.082285374,0.23203792,-0.02544955,-0.06833643,0.025412034,0.20167041,-0.10306756,-0.0745042,0.061932884,-0.024322085,-0.13604385,0.112384275,-0.012929447,0.16108704,-0.021780808,0.023528451,-0.017453313,-0.115733325,-0.032070234,0.041563034,-0.026568353,-0.08615655,-0.032982133,0.0016143922,-0.2610135,0.029499665,0.06686199,-0.13937193,0.0009881202,0.0073426897,-0.043528043,-0.027319204,-0.07705019,0.07190168,0.09932504,-0.019441817,0.03213103,-0.02818999,0.091078654,-0.1338664,0.03238701,-0.18404247,0.16687958,-0.18018913,-0.039063256,0.03796287,-0.11542313,0.14939067,0.1901432,0.03373439,-0.055006422,0.22396007,-0.15566,0.0030392734,0.09919314,-0.0071826987,influencer
1,atta halilintar,-0.067033336,0.06813483,0.06287088,0.19946179,0.1895714,0.117988385,0.038466025,-0.2358367,-0.052363455,0.11575853,0.002729848,-0.106748596,-0.031900954,-0.03107066,-0.12979129,0.039558712,-0.018060103,0.031061549,-0.1221976,-0.05398062,-0.16615188,-0.005009803,-0.16691256,-0.03669235,-0.14395088,-0.0072092754,0.041370682,-0.13692814,0.0126521755,-0.09919812,0.037107643,-0.08188248,-0.08981556,0.016119216,-0.06138432,-0.1486723,-0.11143465,0.061933927,-0.05024028,-0.07746986,0.029288452,0.085603565,-0.022464655,-0.11884774,-0.04426036,-0.13473025,0.03514997,-0.093824744,0.025869444,-0.08052692,-0.009731671,-0.008836359,-0.17085724,-0.04336654,0.083178416,0.14573556,0.082854785,-0.16110116,-0.070525855,0.008884728,-0.13656273,0.04315526,-0.13064124,0.0073152687,influencer
2,prilly latuconsina,-0.0529764,-0.10366933,0.023778379,-0.03402979,-0.11899124,0.058547758,0.06886466,0.09378132,-0.029372832,0.1407138,0.016994312,0.17649905,0.083147444,0.10389866,-0.10322756,-0.11539452,0.026744135,-0.029522967,-0.05599153,0.142707,0.10670598,0.022415861,0.013901843,-0.04001922,-0.06004262,-0.079389244,-0.029171966,0.11105564,-0.22792704,-0.014146257,0.06522505,-0.0053552184,-0.094271064,0.014439042,0.16377538,-0.13083068,0.02983535,0.20387846,-0.103772044,-0.17812091,-0.12308204,0.19689241,0.019619286,-0.10960666,0.017872997,0.09945328,0.18904713,-0.17160536,-0.0020327133,-0.3615068,0.15256715,-0.178727,-0.0074951537,-0.058159616,-0.2878495,-0.010300759,0.14865522,0.04566425,0.03778413,0.21255161,-0.036115676,-0.03461562,0.04773661,0.055129483,influencer
3,raditya dika,-0.097803414,-0.1029944,-0.010808069,-0.08090437,-0.15117446,0.02614437,0.051483177,0.1041293,0.115759686,0.056370616,0.013369098,-0.056864243,0.08240784,-0.04313992,-0.023303386,-0.16912228,-0.046662718,-0.17043851,-0.02474226,-0.11455448,-0.04518121,-0.06092485,0.18579304,-0.04636717,0.14979988,0.014267304,0.31710115,0.072974324,-0.09740922,0.023923678,0.03062741,0.03244359,0.08573487,-0.12123442,-0.19150314,-0.17426926,-0.1373966,0.30211025,-0.107728645,-0.09365561,0.003292123,-0.038007036,-0.0013433984,-0.20221731,0.070537396,0.11427492,0.0077622114,0.047880575,-0.08024515,-0.10379772,0.18594417,0.020331891,-0.25271794,-0.14437106,-0.21456254,-0.19280967,0.071192145,0.109584026,0.015218928,0.36243546,0.18080015,-0.03899666,-0.05329414,0.009061004,influencer
4,iqbaal ramadhan,-0.04253027,-0.09596522,0.1346952,-0.07936624,-0.2800656,0.10905591,0.15527384,0.051775515,-0.15478525,-0.3316506,-0.0913489,-0.12864861,0.28238052,0.32975084,0.18286893,0.16287486,0.06493145,-0.19509375,-0.12798816,0.2432394,-0.14528784,0.15525572,0.18067712,0.58704466,0.010300178,-0.054721497,-0.1721265,0.057765394,-0.079083376,0.20054057,-0.20934731,0.25185698,0.01868549,0.3034261,0.6442039,0.05447691,0.023057416,-0.5032936,-0.17286676,0.09375225,-0.012275537,-0.09682471,-0.14165732,-0.19837253,-0.08125459,-0.17089078,-0.019357223,-0.14259599,-0.07303631,0.17584041,0.54220307,0.12303937,-0.11448169,0.04206131,0.10296923,-0.3822575,-0.14264712,-0.08616665,0.04836694,0.10025701,0.16724707,0.23783895,0.11787686,0.08610836,influencer
5,michelle ziudith,-0.23177549,0.06827645,-0.38234323,-0.016718708,0.44098213,-0.16179186,-0.23525026,-0.41983223,0.19095385,-0.14274697,-0.09891844,0.015604567,-0.16226347,-0.17749166,0.056158394,0.16327658,0.16250034,0.122879624,-0.16227,0.028583024,-0.3710221,-0.4116866,0.0039579086,0.0004350692,0.25188452,0.04553248,-0.19640785,-0.23414978,0.2577429,0.19903217,-0.04312584,0.0517859,-0.013387109,-0.15327269,-0.052064538,-0.15946367,-0.35455626,-0.024898143,-0.26501265,0.2696879,-0.039320808,0.3281598,-0.23482534,0.08214706,0.1071501,-0.3816474,0.11149992,0.11148012,0.07869846,0.14533438,-0.1491153,0.37866908,-0.07537858,0.11000698,0.45878565,0.4191878,-0.05655458,-0.46222267,0.23839585,-0.44721743,0.19193478,-0.26145807,-0.29864162,-0.08569959,influencer
6,chelsea olivia,-0.14086959,0.123179644,0.0055755703,-0.033680532,0.033099703,0.060149275,0.14699475,0.0344429,-0.017339882,0.03423594,-0.09080677,-0.19350275,0.053524334,0.009687196,-0.24254954,-0.10863399,0.018172946,-0.28282428,0.118674114,0.0787064,-0.0027160682,-0.043452084,-0.022635542,0.077679366,0.046355642,0.14684701,0.13858199,-0.0026490488,0.038929794,-0.05370321,-0.14002305,-0.14620079,0.18368891,0.015918799,0.13935786,-0.19943658,0.048392262,-0.01749895,0.0337836,-0.100628175,-0.076574616,0.05555792,0.02770767,0.13062592,-0.017563805,-0.040063884,-0.011283525,-0.08449441,0.14131007,0.18101475,0.033610955,0.0032342135,-0.06282438,0.009067073,-0.025873907,0.15089788,-0.03479642,0.11642559,0.012603721,-0.06357965,-0.15671821,-0.14209478,0.103941515,-0.07527043,influencer
7,dinda hauw,0.019302659,0.1372988,0.044038884,-0.122384,0.1133621,-0.012861529,0.022855977,-0.111052595,-0.105974406,0.12306315,-0.08138342,-0.18434364,0.15670188,0.10233289,-0.067540415,-0.042385668,0.119906485,0.016681548,0.19156891,0.14545345,-0.07075508,-0.0035106249,-0.12888697,0.057953097,-0.0045553856,-0.02436343,0.01833772,0.0052237133,0.08882165,-0.015196186,-0.10052153,-0.077703625,-0.06700993,0.13922985,0.0701312,0.0042018658,0.100602895,-0.073223755,0.10828188,0.110283956,-0.030259391,0.07055687,0.012932949,-0.06324797,-0.009988836,-0.121432975,-0.019402802,0.008035289,-0.07665495,-0.00572757,0.17399868,-0.0061426125,0.020313445,0.033809125,0.09286873,0.08654005,-0.0037082303,-0.07234968,-0.18303612,0.0846578,0.038549207,-0.016301688,0.063084684,-0.09616658,influencer
8,lyodra ginting,0.06619266,0.031921685,-0.033057183,-0.07657375,0.25175023,0.06893726,-0.040582277,-0.15655646,0.16693793,0.17669308,-0.123815015,0.31801313,-0.045072436,0.11587035,-0.007795209,0.1220412,0.15401195,0.10441159,-0.0009104379,0.095516086,0.12913258,-0.055292323,-0.00388879,-0.07208822,-0.102834105,-0.059434,-0.26149225,-0.06460273,-0.061047394,-0.020846369,-0.03634326,0.16695842,-0.028477646,0.16541088,0.22093523,0.037728816,0.077074535,0.15902598,0.094341114,0.00781259,-0.012239908,0.028183779,0.036314826,-0.034094557,-0.100145966,-0.04614304,-0.016227486,-0.18579264,-0.08540322,-0.24131238,-0.09073011,-0.11661309,0.31306598,0.06721373,-0.024169225,0.111878484,0.058297113,-0.111900106,-0.035127163,-0.16014758,-0.08799936,0.023351796,-0.03735458,0.101692885,influencer
9,gisella anastasia,-0.053621136,-0.021223385,0.0075474354,0.06344335,0.07890499,0.11974801,0.05670277,-0.09361167,-0.099650845,0.121864654,-0.06421579,0.1210149,-0.029654475,0.07658099,-0.13395719,0.03443013,0.18663262,0.06951356,-0.03386586,0.13324633,0.080329016,0.05106727,-0.046546213,-0.059583127,-0.11081838,0.010375397,-0.12853573,0.013942875,-0.065280885,-0.103896946,-0.009519398,-0.027536139,-0.09108052,0.0029722452,0.1007198,-0.06879495,-0.051736876,0.03991378,-0.094994485,-0.17368159,-0.12519583,0.1733318,0.00085224916,-0.029276166,-0.065500125,0.039957464,0.07624087,-0.14265484,0.14538941,-0.31702086,-0.037579544,-0.20830801,0.028238336,0.015110437,-0.06403637,0.20831616,0.20972079,0.021734249,0.050041914,0.048745677,-0.20688653,-0.049098913,0.03656453,0.02922536,influencer
