influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Abdul Somad,0.9095017852321747,0.9718885207787539,0.9376788950628705,"brand, indonesia, yg",0.0,0.0,0.0,"gak, nadanya, ngejudge",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Adi Hidayat,0.9571620607987429,0.9555310886185449,0.9006952857971191,"brand, indonesia, yg",0.9571620607987429,0.9555310886185449,0.9006952857971191,"gak, nadanya, ngejudge",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Adrian Maulana,0.9310164319144355,0.9451195995012919,0.7771216763390435,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Agakenyang,0.953932353428432,0.9235331187161003,0.8932690161925095,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Agung Hapsah,0.915459658418383,0.9120070785284042,0.9229725305850689,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"bernapas, dicari, dewa"
Agustina Hermanto,0.8961829087313484,0.9036080426183241,0.8802435100078583,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Agustinus Wibowo,0.9727571253049172,0.9551723875543651,0.9624611064791679,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ahsan Hendra,0.8738952316343784,0.9841769020232929,0.907979813005243,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Alexa Belvana,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Alya Nurshabrina,0.9344582557678223,0.9411882537979264,0.6085151036580404,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Anakjajan,0.9147026260693868,0.9492343813180923,0.9299021260491733,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Andhika Diskartes,0.9229973996127093,0.9568882267196457,0.9205117026964823,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Andrea Hirata,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bernapas, dicari, dewa",0.0,0.0,0.0,"fahardhi, rian, tiktok"
