influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Ayu Tingting,0.8960363703009523,0.9013364298321377,0.8871586476602862,"brand, indonesia, the",0.8960363703009523,0.9013364298321377,0.8871586476602862,"tingting, ayu, depok",0.8960363703009523,0.9013364298321377,0.8871586476602862,"tingting, ayu, depok"
Atta Halilintar,0.9218004376073426,0.7903428149124807,0.8808744638352781,"brand, indonesia, the",0.9218004376073426,0.7903428149124807,0.8808744638352781,"atta, halilintar, saleha",0.9218004376073426,0.7903428149124807,0.8808744638352781,"atta, ameena, halilintar"
Prilly Latuconsina,0.9374813169240952,0.9592078980945405,0.9767505526542664,"prilly, latuconsina, omara",0.9374813169240952,0.9592078980945405,0.9767505526542664,"brand, indonesia, the",0.9374813169240952,0.9592078980945405,0.9767505526542664,"hammerifw, fashion, hammer"
Raditya Dika,0.9258058741688728,0.8109600417157437,0.8994636753710304,"brand, indonesia, the",0.9258058741688728,0.8109600417157437,0.8994636753710304,"fypviraltwitter, fypシviral, shopeehaul",0.9258058741688728,0.8109600417157437,0.8994636753710304,"prilly, latuconsina, omara"
Iqbaal Ramadhan,0.8790775422866528,0.7385157674782036,0.9092500823385575,"brand, indonesia, the",0.8790775422866528,0.7385157674782036,0.9092500823385575,"hammerifw, fashion, hammer",0.8790775422866528,0.7385157674782036,0.9092500823385575,"koot, nana, vindy"
Michelle Ziudith,0.918899548149878,0.9271435331967142,0.9276649594306946,"brand, indonesia, the",0.918899548149878,0.9271435331967142,0.9276649594306946,"tingting, ayu, depok",0.918899548149878,0.9271435331967142,0.9276649594306946,"greenlight, herr, 3secondjourney"
Chelsea Olivia,0.8791095242741402,0.7173102847461043,0.8461869287749996,"brand, indonesia, the",0.8791095242741402,0.7173102847461043,0.8461869287749996,"keisya, pre, chef",0.8791095242741402,0.7173102847461043,0.8461869287749996,"hammerifw, fashion, hammer"
Dinda Hauw,0.9091983831153726,0.9300748698021236,0.8962128555521052,"brand, indonesia, the",0.9091983831153726,0.9300748698021236,0.8962128555521052,"dinda, hauw, mbayang",0.9091983831153726,0.9300748698021236,0.8962128555521052,"tamara, que, angel"
Lyodra Ginting,0.8360169242535319,0.9057932242504141,0.8394440971314907,"brand, indonesia, the",0.8360169242535319,0.9057932242504141,0.8394440971314907,"samsungid, aiunderstandsyou, itsgalaxys25",0.8360169242535319,0.9057932242504141,0.8394440971314907,"arnold, chef, america"
Gisella Anastasia,0.8847781064964476,0.8664349443132773,0.7901821335156759,"brand, indonesia, the",0.8847781064964476,0.8664349443132773,0.7901821335156759,"ariel, noah, luna",0.8847781064964476,0.8664349443132773,0.7901821335156759,"hidupmu, hutan, memimpin"
Natasha Wilona,0.8785141459170808,0.9339786539244097,0.9477287221413392,"brand, indonesia, the",0.8785141459170808,0.9339786539244097,0.9477287221413392,"ariel, noah, luna",0.8785141459170808,0.9339786539244097,0.9477287221413392,"fypviraltwitter, fypシviral, shopeehaul"
Ariel Noah,0.8590835287715449,0.9282269512498101,0.9158223776494042,"brand, indonesia, the",0.8590835287715449,0.9282269512498101,0.9158223776494042,"ariel, noah, luna",0.8590835287715449,0.9282269512498101,0.9158223776494042,"کا, amalee, irfan"
Cinta Laura,0.9482569777303271,0.9447268514256728,0.9354395985603332,"brand, indonesia, the",0.9482569777303271,0.9447268514256728,0.9354395985603332,"bank, mandiri, wacoal",0.9482569777303271,0.9447268514256728,0.9354395985603332,"agustinus, wibowo, nol"
Felicya Angelista,0.9117068475798557,0.9591132124950146,0.0,"brand, indonesia, the",0.9117068475798557,0.9591132124950146,0.0,"indra, bekti, felicya",0.9117068475798557,0.9591132124950146,0.0,"dinda, hauw, mbayang"
