influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
Ayu Tingting,-0.06671871,-0.008507054,0.020168858,0.26288837,0.035139795,0.0057653687,-0.057593346,0.10898315
Atta Halilintar,-0.028165996,0.061609037,0.061058223,0.46711138,0.057206362,-0.0016185008,-0.19887432,0.32120728
Prilly Latuconsina,-0.06860956,-0.012455585,0.017407723,0.2769217,0.037503403,0.004421733,-0.06360582,0.11335422
Raditya Dika,-0.069904566,-0.009426365,0.020670693,0.27635247,0.037007026,0.005832101,-0.060949665,0.11436463
Iqbaal Ramadhan,-0.06408086,-0.010044416,0.01768711,0.25582153,0.034441713,0.004775784,-0.05753002,0.10532242
Michelle Ziudith,-0.062604174,-0.012422445,0.014933777,0.2545598,0.034610715,0.003605004,-0.059287354,0.10379801
Chelsea Olivia,-0.061870012,-0.011919167,0.015080102,0.25093958,0.03407291,0.0037080874,-0.058169592,0.10245707
Dinda Hauw,-0.05999773,-0.013432658,0.012938995,0.24667358,0.033733226,0.0028340416,-0.0586236,0.10000485
Lyodra Ginting,-0.06375454,-0.007596312,0.01975174,0.2502628,0.033382054,0.005725799,-0.054405116,0.10395697
Gisella Anastasia,-0.0594016,-0.0082767615,0.017325252,0.23530482,0.031545207,0.004847441,-0.052107226,0.097273916
Natasha Wilona,-0.06261384,-0.0103976885,0.01675792,0.2510005,0.033868387,0.0044293785,-0.056902036,0.10311299
Ariel Noah,-0.07094307,-0.0030430276,0.019022861,0.2826635,0.033370815,0.008122382,-0.06372303,0.11959444
Cinta Laura,-0.057294823,-0.009248387,0.015573477,0.22920577,0.030893145,0.00416124,-0.05175393,0.094261564
Felicya Angelista,-0.009133354,0.06293222,0.05432977,0.39466622,0.047663458,-0.0037247986,-0.18404609,0.2908795
Indra Bekti,-0.054586735,-0.009120708,0.0145592075,0.21892165,0.029547116,0.0038387664,-0.049673352,0.08991326
Rizky Febian,-0.0670689,-0.008645922,0.020190021,0.26443544,0.035358988,0.0057573305,-0.058006946,0.10958775
Tasya Kamila,-0.06341097,-0.011208388,0.016361492,0.2554004,0.034549803,0.004210036,-0.058427874,0.10466033
Alexa Belvana,-0.059026845,-0.00988953,0.015719242,0.23677665,0.03196043,0.0041400623,-0.053745635,0.09723616
Ayla Dimitri,-0.067547284,-0.008264769,0.0207321,0.26553535,0.035447836,0.005978399,-0.05789751,0.11021624
Valerie Pola,-0.057122618,-0.0102148205,0.014632927,0.23028223,0.031167077,0.0037445906,-0.052773044,0.09432216
Sarah Gabriella Tumiwa,-0.061927646,-0.009680526,0.017116513,0.2471787,0.033274684,0.0046260357,-0.05556576,0.1017743
Tiffany Regina,-0.06369808,-0.008835586,0.018614182,0.25225353,0.033812158,0.005214244,-0.055829056,0.10429591
Vili Su,-0.06572328,-0.009245789,0.019089775,0.26050317,0.034934867,0.0053274706,-0.05775682,0.107656576
Claradevi,-0.053987935,-0.008601099,0.014776649,0.21577516,0.029068213,0.0039672013,-0.048632756,0.08878181
Yumi Kwandy,-0.062903315,-0.009725679,0.017482698,0.25088236,0.033759322,0.004742561,-0.05631434,0.10334062
Fadhilah Razak,-0.060981948,-0.009307651,0.017057426,0.24300443,0.032683525,0.004646869,-0.054451324,0.10014226
Jessica Charis,-0.056702107,-0.009118685,0.015442959,0.22677423,0.030561002,0.004132024,-0.051178336,0.09327466
Evelyn Ramli,-0.06308643,-0.009572677,0.017696578,0.25129074,0.033790708,0.004830068,-0.056264058,0.103578724
Aurel Oriana,-0.061045017,-0.009987672,0.016472429,0.2444461,0.032964647,0.004379167,-0.0552997,0.100477725
Angel Tamara,-0.059806786,-0.008041689,0.017705495,0.23639221,0.03165283,0.00499901,-0.05211822,0.09783659
Calista Cherrie,-0.06372843,-0.010657327,0.016989212,0.25560096,0.03449878,0.004477923,-0.05800303,0.10497429
Shalfa Putri Raihan,-0.054945968,-0.0054904637,0.018508432,0.19883342,0.026254904,-0.0026941642,-0.042837646,0.08625248
Sarah Ayu,-0.056157578,-0.008294909,0.015956452,0.22328922,0.029995918,0.0043916013,-0.04981704,0.09212425
Agustina Hermanto,-0.05518867,-0.008742162,0.015150449,0.22048499,0.02969618,0.0040758536,-0.049655035,0.09073901
Najwa Shihab,-0.058690816,-0.0046147006,0.020852838,0.21130303,0.02774468,-0.001757694,-0.044493318,0.09192486
Dewi Lestari,-0.0653935,-0.005575032,0.022252036,0.2527606,0.033422492,0.0067739985,-0.0531849,0.105862685
Brian Febrian,-0.059075244,-0.0042772796,0.021246817,0.21409754,0.0280847,-0.0005106136,-0.04473655,0.092812255
