,influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,influencer,topic-1_influencer_negative,topic0_influencer_negative,topic1_influencer_negative,topic2_influencer_negative,topic3_influencer_negative,topic4_influencer_negative,topic5_influencer_negative,topic6_influencer_negative,topic7_influencer_negative,topic8_influencer_negative,topic-1_influencer_neutral,topic0_influencer_neutral,topic1_influencer_neutral,topic2_influencer_neutral,topic3_influencer_neutral,topic4_influencer_neutral,topic5_influencer_neutral,topic6_influencer_neutral,topic7_influencer_neutral,topic8_influencer_neutral,topic-1_influencer_positive,topic0_influencer_positive,topic1_influencer_positive,topic2_influencer_positive,topic3_influencer_positive,topic4_influencer_positive,topic5_influencer_positive,topic6_influencer_positive,topic7_influencer_positive,topic8_influencer_positive
0,Ayu Tingting,-0.06671871,-0.008507054,0.020168858,0.26288837,0.035139795,0.0057653687,-0.057593346,0.10898315,Ayu Tingting,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.883872918287913,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.8991801110987968,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147,0.9030362944449147
1,Atta Halilintar,-0.028165996,0.061609037,0.061058223,0.46711138,0.057206362,-0.0016185008,-0.19887432,0.32120728,Atta Halilintar,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.8710436486836636,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9240930561381991,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067,0.9176367132560067
2,Prilly Latuconsina,-0.06860956,-0.012455585,0.017407723,0.2769217,0.037503403,0.004421733,-0.06360582,0.11335422,Prilly Latuconsina,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9767505526542664,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9614277293807582,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723,0.9228711207707723
3,Raditya Dika,-0.069904566,-0.009426365,0.020670693,0.27635247,0.037007026,0.005832101,-0.060949665,0.11436463,Raditya Dika,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.896421339114507,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9432649791768167,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162,0.9244841581041162
4,Iqbaal Ramadhan,-0.06408086,-0.010044416,0.01768711,0.25582153,0.034441713,0.004775784,-0.05753002,0.10532242,Iqbaal Ramadhan,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9341840604941051,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.9693506249359676,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216,0.8487401526907216
5,Michelle Ziudith,-0.062604174,-0.012422445,0.014933777,0.2545598,0.034610715,0.003605004,-0.059287354,0.10379801,Michelle Ziudith,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9069373130798339,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9307529310711095,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439,0.9249975095715439
6,Chelsea Olivia,-0.061870012,-0.011919167,0.015080102,0.25093958,0.03407291,0.0037080874,-0.058169592,0.10245707,Chelsea Olivia,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.973972737789154,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7652091383934021,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414,0.7598459243774414
7,Dinda Hauw,-0.05999773,-0.013432658,0.012938995,0.24667358,0.033733226,0.0028340416,-0.0586236,0.10000485,Dinda Hauw,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9032736208703783,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9270246068841403,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841,0.9079706990718841
8,Lyodra Ginting,-0.06375454,-0.007596312,0.01975174,0.2502628,0.033382054,0.005725799,-0.054405116,0.10395697,Lyodra Ginting,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.8831105615411486,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.907911913673373,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033,0.8728951796105033
9,Gisella Anastasia,-0.0594016,-0.0082767615,0.017325252,0.23530482,0.031545207,0.004847441,-0.052107226,0.097273916,Gisella Anastasia,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.7901821335156759,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9612442471764304,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002,0.9135324196382002
