influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63
ayu tingting,-0.13344547,-0.06222461,-0.011457303,-0.02390289,0.1248531,0.03919577,-0.009463945,-0.06752153,0.0771312,-0.12172791,-0.09395298,-0.05008861,-0.043319255,0.05892513,-0.1045704,0.06528504,0.0832614,-0.048181616,-0.018486228,-0.059362285,-0.08304189,0.14975268,-0.122429624,0.015401943,-0.060560875,0.052244693,0.0045231334,0.07213294,-0.028071836,-0.027970787,0.041231245,-0.06385624,0.09049603,-0.13675582,-0.055604275,-0.07494746,0.015978351,0.058786616,0.018013764,0.005271715,0.06642212,0.032598406,0.004839683,-0.024327826,0.042958725,-0.14372554,-0.016528703,-0.029948851,-0.09648736,-0.13118541,0.055360623,-0.10011326,0.06624976,0.002217493,0.08383566,-0.047269754,0.09560913,-0.03986375,-0.043959238,-0.092105,-0.01062957,-0.057638034,-0.007052618,0.034308616
atta halilintar,-0.11151739,0.16785945,0.2698899,-0.15814504,-0.162343,-0.16870868,-0.083310544,0.3002024,-0.38562304,-0.22740948,0.055120647,-0.15625033,-0.065397084,-0.12521064,0.13028827,-0.019357698,-0.09659607,0.25448513,-0.32994553,0.25632346,0.040324945,0.061219525,-0.22852549,-0.14093265,-0.10132144,0.055297665,0.17678106,-0.27340344,0.28300112,-0.324957,0.4971923,0.11871274,-0.06786599,0.61558175,0.018695302,0.34244502,-0.15694319,0.054347787,-0.52397746,-0.1652984,0.13236749,0.029548746,-0.4464577,-0.109402955,-0.077622734,0.2760758,0.33721924,-0.10795848,0.09589285,-0.23345953,0.11496419,0.18476224,-0.12955874,0.021859422,0.3215613,-0.17349006,0.23523514,0.16809602,-0.15785374,0.030039698,-0.079487935,-0.02994638,-0.32222018,-0.123560384
prilly latuconsina,-0.12916788,-0.056132972,0.037495174,-0.056832477,0.124680296,0.03795418,0.011670261,-0.012384277,0.107339345,-0.12881154,-0.110497385,-0.05058734,0.026723737,0.076746054,-0.11864722,0.07292794,0.11146797,-0.020966567,-0.036719315,-0.081248686,-0.06925945,0.15527102,-0.12646706,0.04901422,-0.08599165,0.11270525,0.008130471,0.0753194,-0.0011172988,-0.01696546,0.066707335,-0.09189779,0.121248975,-0.17914045,-0.041496083,-0.14671552,0.035852723,0.030928068,-0.006004311,0.040580474,0.09254898,0.068278246,0.022319488,-0.017008387,0.076139994,-0.13333574,0.017996991,-0.058903284,-0.16453084,-0.19784388,0.08299441,-0.10430178,0.09666211,-0.013146797,0.16035412,-0.048458382,0.10619341,0.009838367,-0.08217537,-0.073109075,-0.061583623,-0.0390077,-0.02117013,0.045186333
raditya dika,-0.14482567,-0.056272533,0.0049950127,-0.05783262,0.12102528,0.023369089,0.02092534,-0.02389719,0.087995335,-0.13750504,-0.1185205,-0.053405423,-0.03426836,0.081070185,-0.115708224,0.05131093,0.0949893,-0.025127497,-0.03180798,-0.062212948,-0.07719943,0.19407701,-0.119899854,0.019828293,-0.056050375,0.075956434,0.02806263,0.07942266,-0.027598362,-0.03243219,0.058589637,-0.087484166,0.09229009,-0.1671934,-0.065434135,-0.11471042,0.020417236,0.022480723,-0.005351047,0.003287693,0.07789214,0.052889496,-0.005295899,-0.014003098,0.058722742,-0.118866235,-0.016912498,-0.045338362,-0.13332537,-0.15371697,0.0709607,-0.109503016,0.07467653,-0.016582455,0.12246166,-0.04102569,0.11814055,-0.0029656831,-0.071962744,-0.07410796,-0.04157663,-0.053186018,-0.01988768,0.04670319
iqbaal ramadhan,-0.08371356,-0.049463533,0.0140950205,-0.049064174,0.0969137,0.04283644,0.0057746456,-0.04962485,0.10705261,-0.10715613,-0.099871516,-0.04711408,0.062244695,0.036699265,-0.113872364,0.08597273,0.11853011,-0.017164592,-0.021456357,-0.082673855,-0.058353245,0.10531801,-0.059250943,0.029223654,-0.019769331,0.10335863,-0.007083093,0.051811986,-0.04939034,-0.01199659,0.057790883,-0.087983415,0.097181745,-0.14955202,-0.029125951,-0.13770433,0.067266926,0.06467528,0.037185505,0.0010412744,0.07433228,0.056493342,0.017813634,-0.03575712,0.03866433,-0.1351856,0.004513109,-0.035134375,-0.108399965,-0.1445835,-0.008711605,-0.09345013,0.036722414,0.02353049,0.08647308,-0.021744251,0.0019404746,-0.020762779,-0.070938036,-0.045941405,-0.069070324,-0.048330292,-0.026320953,0.043974534
michelle ziudith,-0.1156848,-0.0552748,-0.024890643,-0.03852728,0.15822047,0.043362945,-0.002100111,-0.06988987,0.10681242,-0.13697946,-0.10362384,-0.04361783,-0.014535287,0.08608743,-0.11623035,0.06892823,0.103064954,-0.050039187,-0.0048521776,-0.08628364,-0.08806872,0.15035886,-0.13723482,0.04266264,-0.06654729,0.065420315,0.0063794767,0.0774042,-0.02174282,-0.0032389238,0.03355805,-0.08262658,0.08502485,-0.1895648,-0.05750048,-0.12783895,0.033839583,0.064032115,0.021356337,-2.6375987e-05,0.09194691,0.05818265,0.04392173,-0.014471555,0.06146788,-0.1259087,0.008248735,-0.054888055,-0.13825619,-0.15239473,0.06367913,-0.12677008,0.08188273,-0.007745272,0.11473294,-0.054595873,0.07886782,-0.047175296,-0.044258095,-0.07838571,-7.139525e-05,-0.055356413,-0.0073668375,0.049863733
chelsea olivia,-0.07402077,-0.07755925,0.028273577,0.106989354,0.06343457,0.11357379,-0.13135508,-0.1382105,0.0571452,-0.029672487,0.0071601006,-0.033303097,0.0032871536,-0.062103562,-0.056414418,0.15488134,0.05639615,-0.092691734,-0.0063615814,-0.04721622,-0.05158104,-0.09756878,-0.099448785,0.040200617,-0.113962166,0.045114867,-0.09528184,0.066312745,0.037151627,-0.035606258,-0.0120021645,0.05118984,0.15380487,0.0140059795,0.03593825,0.03386078,0.008042302,0.16511798,0.08928165,0.114084736,0.02711893,-0.011535819,0.04262265,-0.063784346,-0.0038886608,-0.28262237,0.043011248,0.02218294,-0.0075647198,-0.11495416,-0.017655734,-0.011099838,0.042801768,0.101830065,0.022176068,-0.06796977,-0.0055755344,-0.101952225,0.034638673,-0.15354025,0.008488091,-0.056953847,0.02077987,-0.021304874
dinda hauw,-0.0987622,-0.052977234,-0.036007375,-0.030181404,0.16038209,0.050657198,-0.011397339,-0.08633423,0.11260015,-0.13173139,-0.09653504,-0.039085872,-0.0054045306,0.0788963,-0.114752635,0.07771996,0.10615645,-0.056164645,0.0056642294,-0.09226331,-0.0866791,0.12483639,-0.12937266,0.04701443,-0.058554128,0.06072375,-0.0011442988,0.0764526,-0.02515129,0.002834008,0.02168758,-0.077271655,0.08024827,-0.1879589,-0.05202624,-0.12996906,0.041930325,0.08089922,0.0367275,-0.004269546,0.092560366,0.058724295,0.057602618,-0.01643745,0.05504219,-0.13102803,0.015647931,-0.05291544,-0.1308707,-0.14192703,0.043037076,-0.12733975,0.07216324,0.0030159112,0.10178183,-0.054461494,0.04840319,-0.06359953,-0.032568377,-0.07584567,0.009539962,-0.058589537,-0.004903731,0.050684642
lyodra ginting,-0.10853924,-0.060195677,-0.01706424,-0.020417525,0.118210495,0.044794958,-0.013640262,-0.08744134,0.08172717,-0.11117335,-0.087305695,-0.048793003,-0.009069911,0.040938094,-0.10393435,0.075502455,0.09086695,-0.047180828,-0.011689894,-0.06666286,-0.079588816,0.12045538,-0.09480433,0.012930724,-0.03716576,0.055974465,-0.009560057,0.056558892,-0.046901323,-0.017483415,0.041346997,-0.06604075,0.0849102,-0.12936085,-0.044960953,-0.07872392,0.03603372,0.079048395,0.03871017,-0.008118524,0.062355045,0.029817611,0.010658847,-0.03556084,0.030509282,-0.1460315,-0.016615145,-0.023258068,-0.07670747,-0.1176155,0.018171959,-0.09672481,0.045609422,0.018497698,0.055949226,-0.0365234,0.04437098,-0.054786958,-0.041678518,-0.07898858,-0.016427793,-0.057180997,-0.008759038,0.033465862
gisella anastasia,-0.102118365,-0.045134068,-0.088395655,-0.066572756,0.16427007,0.01819731,0.03346695,-0.09724051,0.10516456,-0.15604833,-0.12946832,-0.04519052,-0.041180175,0.098477334,-0.12495288,0.03842999,0.10542419,-0.042828895,0.014084331,-0.08487329,-0.09906756,0.20575482,-0.09157275,0.0067313043,0.01989093,0.029904202,0.034584813,0.06485232,-0.094692945,0.0022151754,0.028959494,-0.10926645,0.02338877,-0.21267459,-0.09129206,-0.13738096,0.05354862,0.060889877,0.0408285,-0.09367187,0.08388989,0.054898992,0.022359915,-0.014965417,0.034898866,-0.074165136,-0.040184133,-0.047042705,-0.10286835,-0.08372562,0.0047700573,-0.15451057,0.029902034,-0.010530587,0.048788685,-0.025956895,0.0272878,-0.07464176,-0.043594576,-0.039934695,0.01274056,-0.07278866,-0.015216112,0.06879981
