brand,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
tokopedia,-0.033326548,-0.074675135,0.17163543,-0.041970134,0.02491845,0.09745614,-0.11545387,0.11655021,0.24992612,0.15008803,-0.046929374,-0.20416196,-0.107154146,0.30168286,-0.12788007,0.041462757,-0.19630346,-0.05750203,0.045010287,0.08233991,0.086741135,0.031247223,-0.30936283,-0.05997685,0.0084371045,0.0203374,0.14112288,-0.22405931,-0.14889908,-0.040608615,-0.07422767,0.08489084,-0.11952934,-0.00822783,0.11901981,0.13471144,-0.17082211,0.0025628754,0.11416119,-0.21119429,-0.284523,-0.16568519,-0.16554832,0.16744417,0.16588344,0.019342944,0.1724543,-0.14166093,0.18775034,0.09294115,0.21854672,0.06160839,0.008261371,-0.13645348,-0.09681706,-0.06533067,0.12752888,-0.15027992,0.08570595,0.06583175,0.06326252,0.015744101,0.17548883,0.11931963,brand
shopee,0.1601148,-0.048942853,-0.25740957,-0.062088884,0.043358617,-0.06221184,-0.10820426,-0.014320945,-0.09499492,0.14561316,0.056457855,0.08133511,-0.13684069,-0.023101963,0.011899093,0.14469497,0.08708757,0.11483531,0.1325879,-0.15398668,0.07679247,0.1041532,-0.17080286,-0.11412305,0.120175816,0.08980776,0.02012549,0.12136498,-0.05883634,0.055656888,0.15578136,0.15403807,0.09564002,-0.051814966,0.13509738,-0.125913,-0.36071944,0.09750661,0.18726316,-0.08116472,-0.11132376,0.046407048,0.014285738,-0.066734545,0.09921189,-0.15128092,0.046629973,0.07295132,-0.048469543,0.2459861,0.26661044,-0.11318663,0.081022605,-0.064207435,-0.10465829,0.091847464,-0.007420191,-0.028558701,-0.32726315,-0.039410762,0.042740576,0.11065808,-0.020617457,-0.14925909,brand
bukalapak,-0.02309186,-0.035640735,0.129908,-0.029019516,-0.0027786917,0.071834214,-0.13275325,0.12538125,0.21036255,0.13230988,-0.124323994,-0.16803697,-0.09519374,0.2535298,-0.054513395,-0.019579694,-0.1652103,-0.063304625,-0.011167331,0.04115293,0.035300273,0.034595665,-0.2280992,-0.0129436245,0.0060332147,-0.0048392033,0.09737824,-0.20155226,-0.071185805,-0.026310474,-0.018486187,0.0046034283,-0.13029179,0.05988145,0.08886683,0.09381406,-0.0770261,0.06072708,0.106873944,-0.15397993,-0.2684741,-0.13989653,-0.15970811,0.12651816,0.06407801,0.06900212,0.101867594,-0.13713309,0.20839232,0.075384155,0.11409658,0.050199773,0.050195448,-0.035955213,-0.077463664,-0.04278007,0.10447061,-0.09280105,0.03420704,0.013904996,-0.034179185,-0.032122783,0.17070192,0.14595899,brand
blibli,-0.031114578,-0.03240862,0.059856094,-0.028781187,-0.0049653207,0.027790617,-0.13111292,0.11557886,0.14490338,0.14631467,-0.07675153,-0.1328997,-0.09346874,0.19855142,-0.022543317,0.0161874,-0.11618977,-0.045990698,0.018323308,0.024400916,0.03420603,0.040349577,-0.18022662,-0.019186089,0.017991543,0.003653787,0.073588006,-0.14091337,-0.04848039,-0.021978576,-0.018230695,0.007195862,-0.08307508,0.059595108,0.07004793,0.054827016,-0.0903064,0.044251792,0.097186044,-0.13254257,-0.21624963,-0.08227506,-0.11618905,0.09358144,0.06924842,0.056965522,0.07443163,-0.088238165,0.15207765,0.08130261,0.14337051,0.036911666,0.039068185,-0.011161112,-0.06673242,-0.014247263,0.10086016,-0.053626526,-0.0022464413,0.012900213,-0.056411847,-0.021276928,0.121464625,0.12051979,brand
lazada,-0.041605294,-0.021717131,0.11960141,-0.052444205,-0.018084686,0.066660814,-0.1296337,0.14004737,0.18935189,0.14055225,-0.103250995,-0.1567348,-0.088596806,0.25604007,-0.0675499,-0.0066601913,-0.16368932,-0.061393976,-0.01274488,0.059655733,0.0136934845,0.031589642,-0.19565393,0.012195392,-0.0015110398,0.005434392,0.10231501,-0.20231247,-0.051910184,-0.014595023,-0.034581482,-0.024866184,-0.096582904,0.059550464,0.08358425,0.08538274,-0.07045998,0.065275565,0.0922731,-0.16128008,-0.2600024,-0.1313434,-0.16166419,0.13378045,0.06237783,0.086873695,0.09902938,-0.09664817,0.21338084,0.065950304,0.116364345,0.051756147,0.05723397,-0.02865796,-0.06176988,-0.060845446,0.10955414,-0.09333404,0.026824344,0.023540478,-0.055484522,-0.027498573,0.14438403,0.14842445,brand
jd.id,-0.021714866,-0.035618845,0.035965525,-0.019700179,0.00012528521,0.014686072,-0.1324969,0.10537405,0.1281094,0.14602397,-0.07277073,-0.12128638,-0.09585968,0.17578375,-0.004566331,0.020937763,-0.09739672,-0.03881749,0.026773773,0.007079678,0.040623583,0.044160664,-0.17563275,-0.030099569,0.02642386,0.0023324199,0.062119484,-0.1175508,-0.045800447,-0.022450594,-0.005906333,0.018112779,-0.08012548,0.06052094,0.06682189,0.041304566,-0.09744039,0.042209808,0.10197863,-0.12013597,-0.20206685,-0.06549701,-0.10069221,0.07654206,0.06738466,0.045319006,0.06418196,-0.087171316,0.13130045,0.0891335,0.148044,0.029309565,0.036487203,-0.0031266809,-0.06963673,0.0037407158,0.09483176,-0.040028214,-0.018652875,0.0054689134,-0.05714825,-0.01983875,0.114510335,0.10822016,brand
sociolla,-0.050903372,-0.025504524,0.12537174,-0.044717308,-0.015870532,0.06316364,-0.1304867,0.13963749,0.19516347,0.14425568,-0.09792116,-0.16707401,-0.08833492,0.2559864,-0.061532218,-0.0040337583,-0.16504675,-0.06627914,-0.0063328776,0.06402187,0.020350043,0.030597467,-0.19694403,0.004082353,-0.0017080688,0.0015502452,0.10106145,-0.20243047,-0.056805775,-0.02457203,-0.04401891,-0.017286845,-0.1023022,0.060976326,0.07868062,0.09188041,-0.06641715,0.050369866,0.08781908,-0.16062109,-0.25450552,-0.12766987,-0.1561994,0.13486159,0.06917522,0.08580653,0.09887782,-0.10375281,0.20634973,0.061575428,0.124397255,0.05695048,0.044607725,-0.029016431,-0.062178403,-0.055745844,0.11517769,-0.08650178,0.042111717,0.027586084,-0.053821735,-0.029568758,0.14792676,0.15546116,brand
zalora,-0.034978874,-0.022495095,0.0869849,-0.05305534,-0.015525251,0.05062441,-0.12723209,0.13137245,0.16094558,0.14321774,-0.08565417,-0.13691816,-0.08997673,0.23191142,-0.057645246,0.00820539,-0.14172831,-0.050147854,-0.0005517433,0.04613954,0.016336381,0.03587555,-0.18386914,0.007203383,0.005622237,0.0115276035,0.09248841,-0.17445378,-0.046192348,-0.008773964,-0.026689267,-0.018146206,-0.07742961,0.05533313,0.080602214,0.06659299,-0.085680015,0.06416659,0.09436346,-0.15244436,-0.24264318,-0.11051028,-0.14477277,0.11778306,0.06503684,0.075094685,0.09027416,-0.07808921,0.19008362,0.07470487,0.12887816,0.04189231,0.05736041,-0.02316744,-0.06102763,-0.04791516,0.10344568,-0.08187066,0.0031641782,0.020312577,-0.057268362,-0.01970347,0.12529992,0.12925762,brand
ralali,0.1675241,-0.016377468,-0.33580962,-0.0299692,0.02791481,-0.12792078,-0.13269156,-0.0114374235,-0.16614237,0.13485442,-0.0026137498,0.1375242,-0.1178891,-0.101013795,0.11810243,0.09134102,0.14442685,0.11183068,0.09759225,-0.20324259,0.025481775,0.11236389,-0.06179244,-0.076159954,0.11941269,0.04952868,-0.0470667,0.18810236,0.038397588,0.06229687,0.21915865,0.08312827,0.08987923,0.027906727,0.08623132,-0.18589331,-0.25296885,0.14273013,0.17357194,0.0059629534,-0.05309719,0.104121655,0.05226073,-0.13767351,-0.00048760278,-0.1016979,-0.04420028,0.092076965,-0.06943566,0.2261351,0.17097706,-0.11771426,0.10806409,0.060732782,-0.08096279,0.13947749,-0.030900784,0.064772956,-0.39135277,-0.09657738,-0.07475925,0.050094128,-0.059652068,-0.124625,brand
orami,0.092627436,-0.021239532,-0.31072217,-0.054730557,0.01635015,-0.14016816,-0.12027207,0.01151594,-0.16792545,0.16615784,0.079957664,0.11711195,-0.10758183,-0.06750713,0.080223694,0.14928088,0.12506863,0.09574982,0.12794349,-0.14406303,0.031208754,0.101859495,-0.04008364,-0.06267605,0.09794084,0.0696322,-0.026485726,0.17266376,0.028279437,0.049283393,0.13545932,0.071388796,0.13838972,0.008105463,0.064388745,-0.17004672,-0.2675973,0.08301388,0.13232644,-0.034233633,-0.035125002,0.11833021,0.055443957,-0.10450232,0.05824855,-0.082652576,-0.023531899,0.14456294,-0.077525884,0.19759852,0.23967858,-0.08955686,0.076914206,0.034729667,-0.059397683,0.11484578,0.003499688,0.06795263,-0.32897702,-0.04529091,-0.07503552,0.07253081,-0.0950411,-0.103124835,brand
