influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
ayu tingting,-0.029788535,0.015748274,-0.07856566,0.04016962,-0.049452905,-0.10335703,-0.02758687,0.051458396,-0.0033649676,0.03539598,-0.018185982,0.005979205,-0.02892356,-0.011842658,0.10874818,0.0036557121,-0.00046679843,-0.0652004,-0.028380107,-0.13625807,0.10030559,0.08572693,-0.050483122,-0.046968214,0.040087458,0.020294098,-0.07015322,-0.05590053,0.0883893,0.047212258,0.029145394,0.023481108,-0.0047062263,0.17380734,0.029999293,-0.009160478,0.022599371,-0.015099388,0.026425987,-0.04753288,-0.19439527,0.009657994,0.05659219,-0.008040921,-0.037057076,0.047218457,-0.048962694,-0.04529815,0.05843077,-0.0007622346,0.04245754,0.07416665,0.09733708,0.17749009,-0.058454894,0.14061713,0.051660255,0.10554737,-0.077042624,-0.032703932,-0.16154708,-0.00055211945,0.10450055,0.14841607,influencer
atta halilintar,0.2929873,-0.2415056,0.119869664,0.10729027,-0.07424966,0.13198954,-0.3481732,0.22680426,0.486946,-0.27873677,-0.16300896,0.016736016,-0.0268555,0.46320117,-0.17628628,0.03296377,-0.15400505,-0.040820904,-0.10328995,0.118720666,0.078313954,0.12689014,-0.118628025,-0.2963971,0.06002114,0.06764829,0.32217133,-0.46418887,-0.109752476,0.1638431,-0.03226845,0.19283569,-0.18519074,-0.04746113,0.41908926,-0.14128801,-0.12034716,0.045103967,-0.05037806,-0.32745585,-0.21847248,-0.25980777,-0.07673624,0.31087968,0.42720115,0.11292072,0.2860065,-0.26133025,-0.037548285,0.093702875,0.19505864,0.3728057,0.0676207,-0.35128185,-0.03470939,-0.1012536,-0.08133842,-0.617293,-0.17618468,0.16040188,0.19330303,0.09376224,0.282985,0.06209936,influencer
prilly latuconsina,-0.022094395,0.013063595,-0.038633827,0.05578421,-0.061036736,-0.07735449,-0.04487841,0.052636635,0.04148891,0.027621206,-0.08988294,-0.019138157,-0.034202427,0.011206009,0.12397452,-0.04238642,-0.045501173,-0.0833621,-0.058963675,-0.16561513,0.1061087,0.09212816,-0.09009197,-0.056556907,0.03533581,-0.0027300192,-0.07321747,-0.101073325,0.08686,0.037421573,0.06070865,0.032079175,-0.07315219,0.20380896,0.041196622,0.020234503,0.039183557,0.0029684126,0.06075026,-0.053954355,-0.24892478,-0.033223532,0.020074748,-0.008677903,-0.06320271,0.0498728,-0.046914715,-0.113559484,0.10739711,0.0043763574,0.008048528,0.0833294,0.12508675,0.18527308,-0.07304686,0.14238304,0.058085933,0.07621459,-0.062107064,-0.056888387,-0.16263357,-0.008486668,0.16602945,0.1814017,influencer
raditya dika,-0.030609895,0.021937368,-0.07799447,0.0040542646,-0.07051214,-0.08949125,-0.028716285,0.07174576,-0.0053510857,0.023995083,-0.019095384,0.027704574,-0.023453344,0.022707092,0.06597722,0.009848306,-0.03059547,-0.06432995,-0.049894042,-0.124055356,0.0764733,0.099774614,-0.03489057,-0.019391522,0.019673914,0.0467703,-0.048148014,-0.0994677,0.10293068,0.07416645,0.030529797,0.00486855,0.021284392,0.1650901,0.054569367,-0.013341919,0.0055896444,0.012381502,0.028330266,-0.07638164,-0.23127246,-0.025334649,0.026826799,0.015433434,-0.031443167,0.06205175,-0.029052291,-0.010167134,0.097509235,0.002959088,0.042270686,0.08427969,0.13935196,0.15665364,-0.047237784,0.09786527,0.043922633,0.04702709,-0.10446869,-0.025400057,-0.16471107,0.022879208,0.10600953,0.14294878,influencer
iqbaal ramadhan,-0.08758412,0.045441356,-0.04154062,-0.038892426,-0.07568905,-0.08122413,-0.00038543818,0.086572915,-0.01861405,0.0779624,0.05642329,-0.0038170055,-0.020766212,0.04008362,0.017408837,0.045023035,-0.0374237,-0.06731625,-0.01816782,-0.06217132,0.06283168,0.06252528,-0.041785464,0.015294127,0.0146348765,0.050713673,-0.034306042,-0.08000319,0.08548641,0.06570362,-0.039541192,-0.032055996,0.07471004,0.14530206,0.026574234,0.01635711,-0.003916746,-0.019787349,0.0009572442,-0.101610534,-0.20762426,-0.006951182,0.018557865,0.03975094,-0.009139078,0.07647966,-0.015432841,0.04489723,0.10401036,-0.022291958,0.079694375,0.07483278,0.101781406,0.14153156,-0.0353193,0.06654893,0.08897113,0.086056516,-0.044372045,0.013434631,-0.16610092,0.026867727,0.048271798,0.1609287,influencer
michelle ziudith,-0.032663032,0.03404292,-0.051333264,0.02768235,-0.0553051,-0.082812935,-0.020029396,0.044207506,-0.0014535075,0.0647939,-0.03879233,-0.014013628,-0.036955476,-0.015105778,0.10839729,-0.018885111,-0.01318155,-0.065612584,-0.031715248,-0.15066367,0.09506178,0.06342365,-0.09309684,-0.032337494,0.048363507,-0.002572065,-0.081099786,-0.038341925,0.08061454,0.04318571,0.040986907,0.0043759495,-0.023958486,0.18911102,0.01632024,0.014284905,0.0207128,0.0009588587,0.05335845,-0.047655158,-0.21004319,0.005513138,0.030889012,-0.020938631,-0.06675528,0.04416904,-0.05589599,-0.064936556,0.089886524,0.002804637,0.022814453,0.04917237,0.103949465,0.19031589,-0.07058242,0.14233245,0.07487683,0.13104215,-0.05860974,-0.047152184,-0.16605839,-0.009147653,0.10192695,0.16536656,influencer
chelsea olivia,-0.08874588,0.05605468,-0.07806772,-0.059394863,-0.078359835,-0.09716079,0.01090569,0.075081505,-0.068624556,0.10250968,0.09259419,0.021389384,-0.023817189,0.008291572,0.01663544,0.06938824,-0.012577597,-0.04895076,0.003462933,-0.077189825,0.057691414,0.056021594,-0.03636523,0.024534032,0.024270698,0.056199446,-0.04844441,-0.028551897,0.09041077,0.07583891,-0.034111083,-0.039592505,0.11399792,0.13826138,0.014159367,-0.0017519591,-0.035761986,-0.016612766,0.009522621,-0.09701653,-0.18470037,0.024235576,0.029558012,0.015201201,-0.010417845,0.061195504,-0.027411476,0.08702764,0.08554062,-0.01058881,0.10045034,0.048515882,0.10496065,0.14746349,-0.034513786,0.0759376,0.09443778,0.11377109,-0.069266856,0.011561193,-0.17159855,0.04217852,0.0014479671,0.13862738,influencer
dinda hauw,-0.038692433,0.04131117,-0.0642913,0.020134872,-0.0526762,-0.09143335,-0.010566364,0.034733474,-0.027034283,0.08593025,-0.014669756,-0.010671148,-0.039838366,-0.036676746,0.11217135,-0.0063306056,0.0044526723,-0.056839097,-0.013388635,-0.15553159,0.09560706,0.052003298,-0.09721419,-0.029543143,0.057572283,-0.0063479175,-0.09206119,-3.4439377e-05,0.07735892,0.04113312,0.03725943,0.00014913839,-0.005828801,0.18641907,0.0014135856,0.010403178,0.007265527,-0.0055648685,0.056130394,-0.041575067,-0.18871057,0.029946554,0.040661063,-0.036431223,-0.06829461,0.03412704,-0.065095186,-0.047407895,0.07485913,0.0057052756,0.035455354,0.031239066,0.09279326,0.19666417,-0.072093725,0.15294185,0.08463138,0.16280416,-0.05797966,-0.046553038,-0.16779163,-0.0069597624,0.072393075,0.1576725,influencer
lyodra ginting,-0.065121934,0.014854914,-0.08809725,0.04393971,-0.038497373,-0.12917194,-0.014979464,0.04513337,-0.028117284,0.06590794,0.049734905,-0.0075753666,-0.028012902,-0.035183378,0.11508362,0.04256069,0.02659485,-0.06369908,0.01675354,-0.112932906,0.11334693,0.069517836,-0.039407715,-0.05693679,0.048303425,0.019345202,-0.078088194,-0.010380678,0.07514237,0.024933986,-0.014808855,0.031573586,0.028121656,0.16023114,0.0010857988,-0.008081922,0.01484979,-0.0668238,0.0012461281,-0.043597266,-0.14071375,0.056762315,0.090671465,-0.014211113,-0.007719622,0.038017727,-0.05492787,-0.015538852,0.010219209,-0.014695475,0.08886975,0.07071989,0.04669313,0.1763238,-0.052746482,0.15771428,0.07243304,0.15877229,-0.041461922,-0.008633641,-0.15935048,0.0009424201,0.060655996,0.14733858,influencer
gisella anastasia,-0.025183799,0.0414401,-0.12338139,0.0065061795,-0.03997186,-0.12137383,0.0018342122,0.032668166,-0.07878554,0.07560772,0.0444166,0.035846792,-0.034046836,-0.06538585,0.099965446,0.03510405,0.058617044,-0.03247708,0.0066531906,-0.1386483,0.084601656,0.055987466,-0.045704022,-0.019842004,0.06262836,0.02418443,-0.088834964,0.04386235,0.088155955,0.063152924,0.02622895,-0.0075557013,0.06717208,0.1549767,0.0014906699,-0.03723208,-0.012189927,-0.0055290437,0.024920113,-0.028295575,-0.13714749,0.06870036,0.08013366,-0.040324993,-0.048527263,0.031018857,-0.07002402,0.027056746,0.02424262,0.009043319,0.058087446,0.02115704,0.0822546,0.18877895,-0.057298344,0.15184313,0.059326604,0.1790903,-0.10435729,-0.031102495,-0.16836135,0.0034847353,0.013722267,0.11050254,influencer
