username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
rereeonni,Nano,INF001,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.9,True,Positive,False,0.037,854390,2070166,5193485,False,0.35,True,lifestyle,13094,2151,389
nicoletrisia,Nano,INF002,['Milenial'],['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.82,True,Neutral,False,0.022,378876,3494390,8643928,True,0.55,False,food,31756,4580,483
fransiskasonia,Nano,INF003,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.81,False,Neutral,True,0.053,491245,3625429,3909337,False,0.24,False,fashion,20881,4119,199
blizhh_,Nano,INF004,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.7,False,Positive,False,0.039,930051,7791952,4578869,True,0.47,False,fashion,42965,1564,338
talulandjani,Nano,INF005,['Milenial'],['Laki-laki'],Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.81,True,Positive,False,0.032,561254,4277966,2926644,True,0.56,True,lifestyle,47447,1242,398
yosiiochie,Nano,INF006,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.62,False,Positive,False,0.06,862051,5163678,8242680,False,0.22,False,lifestyle,16342,6219,454
vannesaffandi,Nano,INF007,['Generasi Z'],['Perempuan'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.69,True,Positive,False,0.032,666212,1399017,6960088,False,0.25,False,lifestyle,37660,4136,380
rizkypahleviii,Micro,INF008,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.75,False,Positive,True,0.05,689835,7667281,3200028,False,0.33,False,fashion,33137,2141,155
fidahana,Micro,INF009,['Milenial'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.85,False,Neutral,True,0.027,573259,4441510,2067753,True,0.58,False,skincare,30416,1951,50
jurnaltasya,Micro,INF010,['Milenial'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.64,True,Neutral,True,0.028,995506,1528173,8587511,False,0.32,True,fashion,45067,6603,152
candyelina_,Micro,INF011,['Milenial'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.78,True,Neutral,False,0.078,306726,6333205,6113911,False,0.24,False,lifestyle,40792,3971,118
khairinadiar,Micro,INF012,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.72,False,Neutral,False,0.039,979020,6240688,9445876,False,0.36,True,fitness,28282,4271,247
angelltamara,Micro,INF013,['Milenial'],['Laki-laki'],Menengah,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.87,False,Neutral,True,0.027,635840,1353189,5256168,False,0.38,True,skincare,43110,5207,341
