instagram_account,post_caption,label_1
rizkypahleviii,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",engagement-inviting
rizkypahleviii,Emang iya begini? #cogil,engagement-inviting
rizkypahleviii,Kentut wangi red velvet,product-focused
rizkypahleviii,jangan sampe anak tongkrongan lu tau,engagement-inviting
rizkypahleviii,Kocheng kok sok jual mahal gitu ya?,personal storytelling
fidahana,"Beginilah ya kalau pacer nya cewek cewek kebanyakan gula 🤪✌🏻 @btn_jakim @mizunoid sedikit cuplikan yang sayang kalau gak di post😜🤏🏻 untuk gerbong 2.45 kalian super keren! Kompak & seru banget, mulai dr nyanyi, berdendang, tebak kata, adu pantun semua dilakuin! 🫰🏻🤣💃🪩💨 Bahkan tiap dari water station, barisan langsung balik lagi dengan rapi!! Terimakasih banyak para runners yang kemarin ikut seru2 an di gerbong kita ya ✨🫶🏻😍😜 Terimakasih atas kepercayaan nya menjadikan kita pacer woohoo @btn_jakim @mizunoid event nya luar biasa!🥳❤️♥️💙💙 #BTNJakim2025 #pacer #mizuno #halfmarathon",product-focused
fidahana,"#mandatorymedalmondaypost 🥇 still can’t believe (once again) that i got to be here, from a nobody to a half marathon pacer… what an experience! 🥹🫶🏻 wlpn di tengah - titik kritis i wasn’t feeling my best, tapi energy dari gerbong hm sub 2:45 & also my pacer mate @taammonste @hayatinupush11 bener benerrr rame, solid, and so full of spirit. it kept me going all the way to the finish line!!😭 again, huge thanks to the @mizunoid team & @btn_jakim for giving us such an incredible and well-prepared experience from the very beginning, aku jadi kenal & bertemu banyak orang seru, baik hati & hebaat🥹 esp @iwansaktiawan7 @bella.scholastica @sarfinasheila @luthfigo @dickyafs (hiks gaada foto brg coach dicky selama event). truly an honor to be trusted with this role, and even more special to cross the line strong, happy, and right on pace. what a day! 💙✨",personal storytelling
fidahana,"incredibly grateful to be selected as one of the Mizuno pacers for the Half Marathon Sub 2:45 category at BTN Jakarta International Marathon 2025!!🥹🫶🏻 it really such an honor to take part in one of the city’s major running events and cross the finish line strong, happy, and right on target with the pacing goal ✨ thank you so much!! @mizunoid @btn_jakim #btnjakim #btnjakim2025 #jakartainternationalmarathon",personal storytelling
fidahana,"Just did my interval session (road to @btn_jakim) yesterday, and laced up in the Mizuno Wave Rebellion Pro 3!⚡️ It felt super bouncy and responsive, with crazyyyy energy return 🤯 Definitely one of those shoes that pushes you forward the moment you push off the ground!",personal storytelling
fidahana,track state of mind 🤓⚡️ 📸: @olahragadifotoin,personal storytelling
jurnaltasya,"""It's a beautiful thing when career and passion come together.."" 🎙️Podcast Ditlantas Polda Sulut bersama Kapolda Sulawesi Utara, Irjen Pol. Drs. Setyo Budiyanto, SH. MH Ngobrol apa aja? Cuss nonton selengkapnya di channel youtube Ditlantas Polda Sulut yaaaa 😉 #podcast #kapoldasulut #poldasulut #polri #ditlantaspoldasulut #direktoratlalulintas",call-to-action
jurnaltasya,"Bukan kuat dan hebatku, tapi karena Tuhan Yesus yang terlalu luar biasa.. 😭😇 Pencapaian tahun 2024 jauh melebihi harapan dan ekspektasi. Kerja keras dan proses yang berbuah manis. 🥹 Tetap semangat untuk para pejuang diluar sana. Kalian hebat! I'm very proud to be a professional master of ceremony 🥰💝🎤 #jurnaltasya #masterofceremony #mcmanado #mcgorontalo #recap2024 #mc #moderator",personal storytelling
jurnaltasya,Sumber air sudekat.,no meaningful message
jurnaltasya,Sumber air sudekat.,no meaningful message
