instagram_account,post_id,post_caption
rereeonni,post_001,rajin-rajin minum matcha biar dapet cowo greenflag. btw biar ga boros mending beli matcha ini! cuma 30rb-an tapi bisa minum matcha berkali-kali 😍💚 #matcha #matchalatte #matchalatterecipe #matchadrink #matchalover #ilovematcha #ilovematcha🧋💚💚 #matchapowder #matchatea #beliditiktokshop #paydaysale #viralditiktok #resepminuman #minumanviral
rereeonni,post_002,"resep chicken fingers simpel ala anak kost, cuma pake 3 bahan aja lohhh. yuk recook juga pake snack makaroni @officialboncabe ! 🤩 #BonCabe #SnackBonCabe #SnackBonCabeMakroni #TemanMakan #resepsimple #reseptiktok #resepmasakan #resepmudah #viralditiktok #resepanakkost #resepayam #resepchicken #resepchickenfinger #chickenfingers"
rereeonni,post_003,resep cheesecuit cuma 4 bahan tanpa oven dan mixer! simpel dan cocok untuk ide jualan. yuk recook! 😍 #resepdessert #dessertrecipe #resep #resepmudah #resepkue #idejualan #idebisnis #dessert #dessertrecipes
nicoletrisia,post_004,"breakfast with the giraffes!🦒 a super fun experience even for adults😂 📍Emirates Zoo, Abu Dhabi, UAE 💰AED 2100/group (max 4 person) - approximately IDR 2,400,000 / person (kl full 4 pax ya) price was worth it! other than breakfast and photo sesh with giraffes, it also includes lots of other activities such as animal feeding (hippo, camel, etc), experience african drumming, and also full day free admission to the zoo as well😍 book through their website ya~"
nicoletrisia,post_005,"so… wanna try to have breakfast with the 🦒 ? meet Houdi, Abi, Mary, and Eid (the baby)🥹 #travel"
nicoletrisia,post_006,In awe of this masterpiece of faith and beauty🕌
nicoletrisia,post_007,"dive into one of the wildest, most breathtaking mountain pools🏞️ #travel #socotra #travelsocotra"
nicoletrisia,post_008,"Notably, one of the most beautiful villages I’ve ever seen.. welcome to Qalansiyah🐟🛶 #travel #socotra #island"
fransiskasonia,post_009,"Grateful that I become one of the 2 Winners of the “Dean’s List” Award & Best Performance in Marketing held by Sheffield University Management School this year 🎓♥️. On previous years “Dean’s list winners” were came from 17 countries. Yesterday, I added “Indonesia” to the country list. Thus, I intentionally planned to use red & white traditional clothes to represent my country’s flag colour on the Prize Giving & Awarding event last Night 🇮🇩. I’m so proud that this small girl from a developing country could serve the qualities and contributions in a global environment standard 🌍 I’m proud that this girl has a developed mindset that everything is possible (as long as she loves what she does and give her best in everything). This 1 minute+ video represents what I did during my master degree year in 2023-2024. Not to show off, but to prove the greatness of God in my life🌻and to show that this little girl from a developing country could make this country a little bit proud 🇮🇩 #deanslistaward #deanslist #prizegivingceremony #awarding #awardingceremony #mastedegree #graduation #ShefUniGrad #SUMSinspire"
fransiskasonia,post_010,"Best Performance in MSc. Marketing Management Practice from Chartered Institute of Marketing + The Dean’s List Award Winner 🏆🎓 #graduation #awarding #masterdegree . 📍Sheffield, January 14th, 2025 🇬🇧 📸🎥 : @almadhea @mmirzaap - Special thanks, dokumentasinya keren bangett 👌 . Congratulations to all Prize winners, Student Ambassadors, and Content Creators 🥳🥳 . . . #deanslist #topperformer #studentambassadors #contentcreators"
fransiskasonia,post_011,"📍Keukenhof, Netherlands🌷🇳🇱. Buat kalian yang penasaran tentang: 1. Cara lihat bunga tulip di Belanda 2. Rekomendasi 5 Tempat Makanan Enak di Belanda 3. Biaya hidup di Belanda sebagai turis 4. Review hostel affordable di Belanda Bisa check ke @jejaksonia ya 😊. Disana banyak resource gratis tentang cara hemat liburan di Belanda. Check story highlight “Belanda” untuk lihat link Vlog #JejakSonia episode 1-4 ❤️🎥. 🧥🥾Winter Coat & Boots from: @winterattire.id. Jangan lupa follow akun @jejaksonia dan subscribe YT-nya untuk tips traveling di 43 Negara episode berikutnya ✈️. #JejakSonia #43Countriesin10Years #fransiskasoniasvoyage #SoniainEurope #SoniainBelanda #SoniainNetherlands #SoniainAmsterdam #Keukenhof #TulipSeason #KeukenhofExpress #tulipdibelanda #tulipbelanda #TravelTips #SpringinNetherlands #ExploreEurope #ExploreNetherlands #belanda #explorebelanda #visitnetherlands #visitbelanda #netherlands"
blizhh_,post_012,"Yang kemarin minta hijab tutorial, ini yah! Udah ku buatin🫶🏻 Btw sblm ada yang nanyain aku pake hijab apa disini, hijab yang aku pake ini dari @lafiye yang premium satin silk ‘adelite’ yahh #hijabtutorials #lafiye"
blizhh_,post_013,Ini cara aku pakai skiv rounya @lafiye. Semoga membantu bestie💕 #lafiye #skivrouscarf #tutorial #tutorialhijab #phasmina #phasminakaos #tutorialphasmina
blizhh_,post_014,"Bulan lalu @buttonscarvesbeauty launching produk baru yaitu Everyday Velvet Rouge Lipstick! Dan i’m in love with this product😍 soo much! Bener-bener jatuh cinta pada pandangan pertama. As always! semua produk-produk dari @buttonscarvesbeauty memiliki packaging yang mewah. Di produk ini Tutup lipsticknya itu sudah magnetic loh guys! Keren bngt! Finishnya bener bener smooth, ga bikin bibir kering terus ringan banget!!! Yang aku punya ini ada 3 shade yaitu persistence, kind dan brave. @buttonscarvesbeauty #reviewnyabalqis #unlockyourbeauty #buttonscarvesbeauty #lipstick #velvetlip #rekomendasilipstik"
blizhh_,post_015,NEW SUNSCREEN ALERT! Skintific Bright Fit Serum Sunscreen. The tone up is real and it stayed all day on my skin without feeling greasy and not leaving any whitecast. Bisa banget jd one step base buat kamu yang ga punya banyak waktu! #rekomendasisunscreen #sunscreennowhitecast #sunscreen #toneupsunscreen
talulandjanie,post_016,"26 today! Another year hotter, wiser, and still blocking people for peace. HAHAHA I Love You All🤍🤍🤍🥳🎂"
talulandjanie,post_017,"The little sparks are back, dancing around the frangipani and blooming like love that’s been patiently waiting. This time, Buttercup introduces a new kind of love. With Talula as our love muse, she will guide you how to love yourself. 💋💋💋"
talulandjanie,post_018,"Replica By The Fireplace It's like being hugged by a chilly forest. The smell brings back memories of cold seasons, with the woody fragrance making it feel as if you're wandering through dry woods, embracing the crisp air and the cozy feeling of winter. #fragrance #edp #maisonmargiela"
talulandjanie,post_019,"Signature lips, my way. Effortless, flattering, and just so me✨ . @yslbeauty @diorbeauty"
talulandjanie,post_020,"I kept this place in my heart for us. But time passed, went there without you and somehow the art still spoke. - finally walked into the memory we never got to make🖼️"
yosiiochie,post_021,Introducing to chosen women of MIRACLE RUNAWAY presented by @pondsindonesia Breaking the stigma surrounding women over 30 Join us in celebrating timeless beauty and ageless elegance at Jakarta Fashion Week 2025 from 21-27 October 2024 at Pondok Indah Mall 3 #miraclesrunwayatjfw #jfw2025 #miracleshappen
yosiiochie,post_022,"Bangga terpilih menjadi 8 muse buat runaway bareng sama @pondsindonesia di panggung @jfwofficial beneran terkejut dan terharu bisa catwalk bareng Dian Sastro, Asti , Suci Idol dan Ayla Dimitri Terima kasih buat semua yang sudah support aku online dan offline Buat 15 wanita hebat lainnya kamu amazing wanita 30 above teruslah berjuang bermimpi #miraclehappen Udah ga tau mau nulis apa lagi pokoke terharu bangga dan makasih banyak 😘😘😘😘"
yosiiochie,post_023,Akhirnya terbit juga 😍 bangga sekali bisa menjadi bagian dari @jfwofficial dan juga @pondsindonesia Thanks for the miracle happens @dewimag #miraclehappensatjfw
yosiiochie,post_024,"Duo combo @whitelab_id moisturizer dan serum yang ada kandungan niacinamide nya bikin wajah auto cerah, aku suka banget karena serum dan moisturizer nya cepat banget nyerap dan cocok buat semua jenis kulit #beneransebagusitu #whitelab"
yosiiochie,post_025,"Mau liburan sekolah, jangan lupa pesan @bluebirdgroup pake fixed price di aplikasinya biar liburan tenang dan juga nyaman #bluebird#fixedprice #mybluebirdapp"
vannesaffandi,post_026,zubizubizhu👩‍🍳
vannesaffandi,post_027,last minute decision
vannesaffandi,post_028,bandung 25 jam
vannesaffandi,post_029,👹🎀🐁
vannesaffandi,post_030,meiske
