instagram_account,post_id,comment,comment_likes
rereeonni,post_001,Haii kaak boleh cek dm yaaah,0
rereeonni,post_001,eh malah kita yg green fleg🤭,0
rereeonni,post_001,@rantiikasts,0
rereeonni,post_001,grass 🌿,0
rereeonni,post_001,tapi kalah sama matcha lalu nya😂,4
rereeonni,post_001,Ga lagi minum redvelvet,0
rereeonni,post_001,@rdhooozy ciecieciecie cowo aku greenplekk,0
rereeonni,post_001,Boleh deh,0
rereeonni,post_001,Enak,0
rereeonni,post_001,Udh dpt niiih😍😍,1
rereeonni,post_001,dh dpt huhu,1
rereeonni,post_001,gua suka matcha tapi gua cowok,4
rereeonni,post_001,mau dong produk nya,1
rereeonni,post_002,"halo kak,kak punten boleh cek dm nya kak,aku ada tawaran kerja sama",0
rereeonni,post_003,@tantiturwanti,0
rereeonni,post_003,@nirma.hamka,0
rereeonni,post_003,@cc.2yy__ @adznrawaliaa__,0
rereeonni,post_003,1 resep gini jdnya brp cup kak?,0
rereeonni,post_003,kalo kurang manis liat aku,0
rereeonni,post_003,@irfaanginanjar,0
rereeonni,post_003,Ade gw bikin busret asin banget😂,0
rereeonni,post_003,@raykachyaputrii,0
rereeonni,post_003,🔥,0
rereeonni,post_003,@qodrul_ ini toh,0
rereeonni,post_003,@mandashf_,0
rereeonni,post_003,@nadhiva_salsabilla,0
rereeonni,post_003,@dilafrasilya kek gni buat ny,0
rereeonni,post_003,Ka itu cracker nya dicelup ke susu full cream ?,0
rereeonni,post_003,@erlinda ini yg td liat di brigif kayana yak?,0
rereeonni,post_003,kalo pake keju parut bisa ga ka ?? mau coba jualan itu soalnya,0
rereeonni,post_003,iki enak @noooppikkkk._,0
rereeonni,post_003,Itu ygcair itu itu apa?,0
rereeonni,post_003,ini modalnya berapa yah. kalo sama kaya harga cheesecuit mending beli aja gak usah ribet bikin😂,3
rereeonni,post_003,Mudah yaa bikin nya 😍,0
rereeonni,post_003,@dwinurbs bisa kaleeeee,0
rereeonni,post_003,@rdsylvania.zein,0
rereeonni,post_003,itu crackers dicelupkan apa kak,0
rereeonni,post_003,Emoh,0
rereeonni,post_003,Buat oh q minta,0
rereeonni,post_003,save dulu resepnya,0
rereeonni,post_003,😍,0
rereeonni,post_003,Ga pake whipcream ka?,0
rereeonni,post_003,@doyykin,0
rereeonni,post_003,@viionanoviie,0
rereeonni,post_003,@anggianggi_19,0
rereeonni,post_003,@skyld_95,0
rereeonni,post_003,Yummy 😍,0
rereeonni,post_003,Bjirr baru nyadar trnyata pake lagu Twice tapi di remix 😭🔥,0
rereeonni,post_003,@nralyh584,0
rereeonni,post_003,@_about.bil ini ndaa sih yg dia jual??,0
rereeonni,post_003,@0708dump_,0
rereeonni,post_003,Enak! 🥰😍,0
rereeonni,post_003,kak beli keju nya dimna brapa ya harga ny?,0
rereeonni,post_003,"Yuk order Reglow di kami😍 dijamin ORI 100%, Pembelian 1 paket FREE ONGKIR, FREE GIFT, dan FREE POUCH lohh🙌 Mau tanya/konsultasi dulu juga bisaa banget langsung DM atau klik link dibio ajaa😉‼️",0
rereeonni,post_003,Bahan untuk celup nya itu susu full cream atau gmna kk?,0
rereeonni,post_003,@arissaeou._a,0
rereeonni,post_003,@risnawr,0
nicoletrisia,post_004,ga expect cantik juga jerapahnya 🥰🥰,0
nicoletrisia,post_004,@iranamira_ ayo ngedate ngasih makan jerapah aja tapi kita tanya dulu jerapah galak apa nggak? 🤣🤣 Jadi gimana ci nikol jerapah galak ga? 🤣🤣,0
nicoletrisia,post_004,imut bgt 😍😍😍😍 jerapahnya,0
nicoletrisia,post_004,cutee bgtt laa😍,0
