instagram_account,bio,post_id,post_caption,comment,comment_likes
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Aku penasaran sama kalimat yg di sensor 🤭",15
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Okeeeh. Puas banget ya Kam 😂❤️",157
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","kemaren masi bayiiiik, happy birthday kama sayang 😍",48
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Bener-bener bontot yang mature🤣",132
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","MasyaAllah Barokallah fii umrik kama .. sehatsehat ya tumbuh menjadi anak yg sholeh dan pintar 🤲😍 bayi pandemi barengan sama anakku bia cuma beda bulan 😍😘",4
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Selamat ulang tahun mata² terpercaya bia dan netijen 🤣🥰",26
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Selamaaatt tambah usiiiaaa kamaaa sayaaang, smg semakin pintar dan jd agen CIA handal 😍😍😍",4
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Bayi pandemi online ku, selamat merayakan ulang tahun di kampung halaman😍😍😍",115
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","HBD DALGONA😍❤️",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Selamat ulang tahuun bayiik pandemi membawa kebahagiaan ini ❤️ ututuuu udh 5 tahun udh jd privat agentnya Bia aja nih🤏🏼 sehat selalu kamooy",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Bayik pandemi pas bia lahiran, pulang di smbut di rumah jogja sekarang udah 5 thn ajaa,, barakallah fii umrik lama, sehat selalu yaa❤️",33
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Cepet bgt sih gedenya kam. Sampe skrng aja masi tergiang2 suaranya bhre balita😂",16
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Ternyata kama juga tertung tung tung sahur😁",5
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","MasyaaAllah tabarakallah, Barakallah fii umrik kamooyykuu cayaangg 🤏🏼😍❤️",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Intelnya bia ini wkwk 😂",32
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","gemeezzz ini bayii...kok udh bisaa jdi cctv biaa siiyy kammm🤏🤏",11
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","🤏🏻🤏🏻",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Sllu inget yang “Iyaaaa beyybihhh” 😂😂 hahahaha…. selamatt ulangtahun yaa Kama gemecccccc 🫶🏻✨ @bhajkama",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Kamaaaaaaa lucu bangeeeeeet sungguh kamu adalah hiburanku. Selamat ulang tauuun",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Ya amppuunn gemess banget kam...happy birthday kama kembarannya bapak @hanungbramantyo 🥳",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Ternyata aku udh 5 tahun mengikuti kegiatan @bhajkama 😍😍😍",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Happy birthday anak bontot kama semoga panjang umur sehat selalu makin soleh ya adek kama 🥳😘",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Okeehhhh 👏",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Yakin jd bungsu kam? 😋😋😋",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Happy birthday Kamoy❤️",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Intel nya bia @zaskiadyamecca 🤭🤭",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Laporan di terima kama lanjutin mata²nya yah😂",2
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Barakallahu fii umrik kama, ponakan online yang ku besarkan dengan kuota 🫶🏻",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Celamatt ulang tahun kama gemeshh",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Dalam hati kak kana klo liat post ini \"awas lo yaa kam\" 😂😂😂😂",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Mengalahkan cctv ya mb kama..lucu laporan cctv-nya😊",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","barakAllah kama bayi pandemi sekarang dh jadi intelijen bia😂😂",1
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Happy Birthday Kamaa circle Cancer Boy 🦀🤙🏻🥳",3
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","MasyaAlloh bibir nya pingin nyomot nak",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Gemesss,dengan caranya ngomong",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Kamaaa, ultah kita samaa 😍",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Ya ampun , gemesin banget sii kama 😍😍 ,",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","Happy Birthday Kamoy tung\"🥳wish you all the best for you kam❤️",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","gemezzzz bgt MasyaAllah❤️",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_1","Selamat 5 tahun CIA nya Biaaa sayaaang🤣🤗❤️","😍😍😍😍",0
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Sayanggggg Masya Allahhh Allahumma baarik 🥹🥹",7
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","Barakallahu fiikum mas ku @hanungbramantyo dan kak @zaskiadyamecca.. 🤗🤗 Makin cinta sm kalian berdua..",15
zaskiadyamecca,"Indonesian Volunteer, cp INA +62816802069, @chadareeofficial @mamahkejogja @zaskiamecca_id @biabyzaskiamecca @gamplongstudio","zaskiadyamecca_2","Alhamdulillah ke Jogja kali ini bisa sempet ke kajian ustadz @mabduhtuasikal lanjut kenalan, konsul smp makan siang bareng. 2023 berangkat haji bareng, satu maktab, tapi mau nyapa sungkan takut ganggu, krn beliau sedang urus orang tuanya. Udah lama ikut kajian onlinenya, setiap cari apapun tentang islam dari hukum2-ilmu-dalil-hadist-dll @rumayshocom selalu menjadi patokan utama aku. Setelah buka dari Rumaysho baru deh aku baca dari rujukan lain. Bersyukur banget bisa langsung ngobrol santai tapi banyak makna sama pendirinya. Karna jujur selalu iri dengan ahli ilmu dan yang udah banyaaak banget amalan jariyahnya. Semoga bisa kebagian semangatnya terus dalam syi’ar seperti para guru ini, Aamiiinn!! Makasiii @hanungbramantyo udah nemeniiin🤗❤️","💚💚💚💚",8
