instagram_account,bio,post_id,post_caption,comment,comment_likes
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Kok mirip Irfan hakim,3
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Tiba2 ga ke rekam gmn,28
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Asta'ir mi'ah😂,31
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Apakah ini anaknya yang viral itu ya,17
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Emak lu bang,4
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Bang,2
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶","bang yg viral di tiktok, x itu ibu lu?",1
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Bang sama @medyrenaldy dong😁,1
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Mirip irpan hakin yah yg minjem seratus itu😂😂 maaf,3
rizkypahleviii,Managed By @cspeople.id +62 811-1200-3998 (Risa) 📩 Talent Architect www.tiktok.com/@rizkypahleviii,post_031,"Bad Casting Eps.1 | Agar silaturahmi tak terputus, bolehlah pinjem dulu seratus 😶",Bang lu gua follow karna jadi cosplaynya Anis Baswedan,4
