brand,tweet_id,username,user_display,text,created_at,like_count,retweet_count,reply_count,lang,hashtags,mentions,is_retweet
Mustika Ratu,1934563163699339419,jajankimchi,chii~,"mustika ratu kan brand lama ya, gw kira dia ni brand ""legend"" taunya sama aja lah, Indonesia mah pembohongan publik, begini amat jir jadi WNI 🥲",2025-06-16 10:46:15,0,0,0,in,,,False
Mustika Ratu,1925213091933110580,grok,Grok,"Here are some prominent beauty companies in Indonesia:

1. Wardah Cosmetics: Popular for halal-certified, affordable makeup and skincare.
2. Mustika Ratu: Known for traditional, turmeric-based products, over 40 years old.
3. Emina Cosmetics: Wardah’s youth-focused brand with fun, budget-friendly items.
4. La Tulipe: Offers affordable skincare, especially face masks, for over 30 years.
5. LT Pro: Professional makeup with a wide range for artists and consumers.
6. Pixy: Targets young users with quality foundations and BB creams.
7. Sociolla: Leading beauty e-commerce platform with BPOM-certified products.
8. Base: Startup offering personalized skincare solutions.
9. Mad For Makeup: E-commerce for makeup and skincare needs.
10. Martina Berto: Major cosmetic manufacturer in Indonesia.",2025-05-21 15:32:24,0,0,0,en,,tetehbidadari,False
Mustika Ratu,1919280907308921229,llilian_nijkoes,◦,"@OlePole9 @monokorobogawl Puteri Indonesia dibwah naungan Emtek &amp; yayasannya yg megang Mooryati soedibjo jg sponsorshipny dr brand Mustika Ratu.
Miss Indonesia naungan MNC &amp; yayasannya Lilliana Tanoe. 

Tpi gtau lagi klo ada prgantian soalny trkhir ngikutin PI th 2023an.",2025-05-05 06:40:01,8,0,0,in,,"OlePole9,monokorobogawl",False
Mustika Ratu,1913253094928105502,Clockwerk_ram,Clockwer,"Mustika Ratu Official Shop:
Brand legendaris Indonesia yang menggunakan resep tradisional dengan bahan-bahan alami
#Shopee #SkinCare #ShopeeID
 https://t.co/nnYQHXDhoK",2025-04-18 15:27:39,0,0,0,in,"Shopee,SkinCare,ShopeeID",,False
Mustika Ratu,1909050118759739873,grok,Grok,"Mencari facial wash Indonesia dengan salicylic acid dan niacinamide agak sulit. Brand besar seperti Wardah dan Mustika Ratu punya produk dengan salah satu bahan, tapi belum ada yang keduanya. Coba cek Shopee atau Tokopedia untuk brand lokal kecil seperti Avoskin atau The Bath Box, lihat daftar bahan atau tanya penjual. Alternatifnya, tanya komunitas skincare atau dermatologis lokal untuk saran produk yang sesuai.",2025-04-07 01:06:31,0,0,0,in,,penetanmaslihin,False
Mustika Ratu,1903576399535088062,aeoliaan,Sansan,"@convomf Aku ex mustika ratu. Jadi aku tau banget kalo mustika ratu tidak memiliki keterkaitan dengan gerakan zionis. Dia brand lokal, dan sangat mengangkat nilai budaya indonesia.
Tolong jgn nyebarin berita asal, krn kalo penjualan turun banyak karyawan &amp; keluarganya yg kamu korbankan.",2025-03-22 22:35:55,47,0,7,in,,convomf,False
Mustika Ratu,1902965836010172484,sangeksangat,Anak Agung,@pengincumlaude Pemilik brand mustika ratu dan ketua yayasan putri indonesia https://t.co/2xbgvjs58E,2025-03-21 06:09:45,5,0,0,in,,pengincumlaude,False
Mustika Ratu,1882742212049735898,iyoonah60,Nutella peanut butter,"@tanyarlfes Owner mustika ratu tuh yg best banget, flexing pakai kontes kecantikan ""Puteri Indonesia"". Dan brand ambassador puteri yg terpilih. Gak main pakai influencer TikTok.",2025-01-24 10:48:17,3798,143,2,in,,tanyarlfes,False
Mustika Ratu,1869201453832872129,eternalcloud09,cloud,"Ya lu belinya viva, mustika ratu, purbasari noh aslii indonesia, jangan tiba-tiba nuduh nipu-nipu ke brand lain, awas pencemaran nama baik loh",2024-12-18 02:02:09,0,0,0,in,,,False
Mustika Ratu,1868621178279235879,integriitea,♡,"@ketakerya Kalo km cuma mau pake produk yg diproduksi lokal, ya riset brand mana yg PUNYA PABRIK DI INDONESIA. Ada tuh viva, mustika ratu, dll. 

Sekali lagi ya, 'made in china' BUKAN BERARTI produk cina. Kalo hal sesimpel ini km ga bisa terima, berarti emang seneng ribut aja, bukan kritis.",2024-12-16 11:36:20,22,1,0,in,,ketakerya,False
