artis,tanggal,tweet_asli,tweet_bersih
"""Anggun"" -is:retweet lang:id",2025-06-20 14:47:13+00:00,"🌿 summer garden dress vibes 🌿
dress floral navy ini cocok banget buat kamu yang pengen tampil manis &amp; fresh di segala suasana!
✨ LD 88 cm
✨ panjang 80 cm
✨ harga cuma 45.000 aja!
modelnya anggun, dengan detail tali samping yang bisa diadjust~ https://t.co/tL2uQup3fs","🌿 summer garden dress vibes 🌿 dress floral navy ini cocok banget buat kamu yang pengen tampil manis &amp; fresh di segala suasana! ✨ LD 88 cm ✨ panjang 80 cm ✨ harga cuma 45.000 aja! modelnya anggun, dengan detail tali samping yang bisa diadjust~"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:46:12+00:00,"@tidak_anggun wkwkwk stress bgt ini mahh😭😭😭 tamatin road dlu dehh sampe fm wkwk, nah jangan lupaa nabung buat nikahh","wkwkwk stress bgt ini mahh😭😭😭 tamatin road dlu dehh sampe fm wkwk, nah jangan lupaa nabung buat nikahh"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:45:44+00:00,@anggun_sekar Mauuu wkwk,Mauuu wkwk
"""Anggun"" -is:retweet lang:id",2025-06-20 14:45:11+00:00,"Dinyanyiin tuan muda, malem ini lgsg jadi wanita manis dan anggun 🥰 https://t.co/TRmOvIAMEq","Dinyanyiin tuan muda, malem ini lgsg jadi wanita manis dan anggun 🥰"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:36:02+00:00,"membangkitkan ritme anggun dari ekor ikan yang bergoyang dan juga gelombang pasang. Tingkat keterampilan ini jauh melampaui semua artefak yang telah tercatat sebelumnya, memicu diskusi panas di kalangan akademis.

(...)","membangkitkan ritme anggun dari ekor ikan yang bergoyang dan juga gelombang pasang. Tingkat keterampilan ini jauh melampaui semua artefak yang telah tercatat sebelumnya, memicu diskusi panas di kalangan akademis. (...)"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:34:16+00:00,"Aduh nyonya banget auranya. Cantik, anggun, glamor

EST SUPHA X BVLGARI
#BvlgariPopUpOpeningxEST https://t.co/SoWVHRwjSb","Aduh nyonya banget auranya. Cantik, anggun, glamor EST SUPHA X BVLGARI BvlgariPopUpOpeningxEST"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:33:38+00:00,@jeondurability @anggun_sekar Iya ber-13 tp bxb all ships gitu,Iya ber-13 tp bxb all ships gitu
"""Anggun"" -is:retweet lang:id",2025-06-20 14:33:08+00:00,"@yappingfess Sebel sih. Gue jadi inget waktu gue pertama kali meet up sama cowo bumble. Gue waktu itu pake celana cargo terus pas dia jemput gue, dia bilang ""padahal aku ekspektasinya kamu pakai rok biar lebih anggun sih"". 

Muka gue : 🤨🤨🤨🤨🤨","Sebel sih. Gue jadi inget waktu gue pertama kali meet up sama cowo bumble. Gue waktu itu pake celana cargo terus pas dia jemput gue, dia bilang ""padahal aku ekspektasinya kamu pakai rok biar lebih anggun sih"". Muka gue : 🤨🤨🤨🤨🤨"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:32:55+00:00,Kayak gue yg selalu ngomel2 kl ada temen/sodara gue yg nikah trs dia masih pecicilan 🤣🤣🤣🤣 kayak “LU BISA ANGGUN DIKIT GAK ANJRIT PLIS DUA JAM AJA!!!” https://t.co/UMf7XR1ijg,Kayak gue yg selalu ngomel2 kl ada temen/sodara gue yg nikah trs dia masih pecicilan 🤣🤣🤣🤣 kayak “LU BISA ANGGUN DIKIT GAK ANJRIT PLIS DUA JAM AJA!!!”
"""Anggun"" -is:retweet lang:id",2025-06-20 14:32:04+00:00,"@anggun_sekar Bener bgt!! Aku baca dr semalam, cicil2 curi2 waktu seharian ini, nge scroll2 ""bused panelnya byk amet 😩"".
Yg serunya tuh pdhlnya conflictnya ga berat2 bgt tp kita nya kyk kebawa gitu pngn baca lanjut trus.","Bener bgt!! Aku baca dr semalam, cicil2 curi2 waktu seharian ini, nge scroll2 ""bused panelnya byk amet 😩"". Yg serunya tuh pdhlnya conflictnya ga berat2 bgt tp kita nya kyk kebawa gitu pngn baca lanjut trus."
"""Anggun"" -is:retweet lang:id",2025-06-20 14:30:48+00:00,"Wajahnya dikenal manis, anggun, dan ekspresif. Kini ia aktif membintangi berbagai serial TV dan web-series.

Rumornya, ia berkencan dengan Sumedh 👉👈 https://t.co/7VGW48Q88S","Wajahnya dikenal manis, anggun, dan ekspresif. Kini ia aktif membintangi berbagai serial TV dan web-series. Rumornya, ia berkencan dengan Sumedh 👉👈"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:28:22+00:00,"@anggun_sekar soon kakk sabar sabar duls, entar kalo balik indo dah 24/7 kulineran gpp. atau mauuu bikin sendiri dulu boyehhh😋😋😋","soon kakk sabar sabar duls, entar kalo balik indo dah 24/7 kulineran gpp. atau mauuu bikin sendiri dulu boyehhh😋😋😋"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:27:47+00:00,"@zwtbitter @anggun_sekar thank u by, ga liat ada genre. ini au svt ber-13 ya?","thank u by, ga liat ada genre. ini au svt ber-13 ya?"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:26:10+00:00,@anggun_sekar makan tahu tekkkkk tadii.. keknya aku senin mw makan kwetiau deh kakkk abis ngampus (smg ga salfok kemana mana),makan tahu tekkkkk tadii.. keknya aku senin mw makan kwetiau deh kakkk abis ngampus (smg ga salfok kemana mana)
"""Anggun"" -is:retweet lang:id",2025-06-20 14:25:08+00:00,@jeondurability @anggun_sekar Ini klo mau baca https://t.co/AuJqUZ2X6l,Ini klo mau baca
"""Anggun"" -is:retweet lang:id",2025-06-20 14:24:46+00:00,@anggun_sekar @zwtbitter banyak 😭,banyak 😭
"""Anggun"" -is:retweet lang:id",2025-06-20 14:24:15+00:00,duduknya yang anggun Doong 😕☝️ https://t.co/0BoLlriJIs,duduknya yang anggun Doong 😕☝️
"""Anggun"" -is:retweet lang:id",2025-06-20 14:23:50+00:00,@anggun_sekar @zwtbitter bentar ini banyak bgt 1000 an liat kepala au nya begimana 😭,bentar ini banyak bgt 1000 an liat kepala au nya begimana 😭
"""Anggun"" -is:retweet lang:id",2025-06-20 14:21:00+00:00,"Ia menatap rumah kaca sejenak, lalu langit yang mulai berwarna keemasan.

""Baiklah. Bertumbuhlah dengan anggun, gak usah terlalu cepat. Tiba-tiba aku belum siap jadi ibu tanaman panik karena ingin cepat-cepat besar."" Ucapnya, lalu tertawa sendiri memikirkan candaan anehnya.","Ia menatap rumah kaca sejenak, lalu langit yang mulai berwarna keemasan. ""Baiklah. Bertumbuhlah dengan anggun, gak usah terlalu cepat. Tiba-tiba aku belum siap jadi ibu tanaman panik karena ingin cepat-cepat besar."" Ucapnya, lalu tertawa sendiri memikirkan candaan anehnya."
"""Anggun"" -is:retweet lang:id",2025-06-20 14:19:45+00:00,"Cardigan batik elegan untuk ibu-ibu, pilihan tepat tampil anggun dan sopan saat menghadiri kondangan atau acara resmi. https://t.co/UgghpOVAXq","Cardigan batik elegan untuk ibu-ibu, pilihan tepat tampil anggun dan sopan saat menghadiri kondangan atau acara resmi."
"""Anggun"" -is:retweet lang:id",2025-06-20 14:19:38+00:00,"Vibes “calon mantu idaman”

🩰 Blouse terinspirasi dari kebaya Bunda Maia pas akad Al &amp; #AlyssaDaguise

🤍✨️ Bener-bener anggun, classy, dan mahal look-nya. Bahan adem, jahitan rapi

CO DI SINI ‼️
🔗 https://t.co/GY0RKC8eie

#racunshopee #shopeepaythr #zonauang #shopeeaffiliate https://t.co/DH4WfN56Ow","Vibes “calon mantu idaman” 🩰 Blouse terinspirasi dari kebaya Bunda Maia pas akad Al &amp; AlyssaDaguise 🤍✨️ Bener-bener anggun, classy, dan mahal look-nya. Bahan adem, jahitan rapi CO DI SINI ‼️ 🔗 racunshopee shopeepaythr zonauang shopeeaffiliate"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:18:48+00:00,"@anggun_sekar Aku baca krn ur recommendation.
Suka aku tuh sama au kyk gini, conflict nya byk tapi ga berasa terlalu berat. Jadi nyaman bacanya ampe kelar","Aku baca krn ur recommendation. Suka aku tuh sama au kyk gini, conflict nya byk tapi ga berasa terlalu berat. Jadi nyaman bacanya ampe kelar"
"""Anggun"" -is:retweet lang:id",2025-06-20 14:15:25+00:00,@13scrop thank you anggun! semoga segera menyusul yaa 🫰🫰,thank you anggun! semoga segera menyusul yaa 🫰🫰
"""Anggun"" -is:retweet lang:id",2025-06-20 14:15:20+00:00,@calebk yang kanan cantik kalemm anggun sekalii,yang kanan cantik kalemm anggun sekalii
"""Anggun"" -is:retweet lang:id",2025-06-20 14:12:27+00:00,@Jooyoung_wu @angrateful_ Lagi ngereog dengan anggun kak,Lagi ngereog dengan anggun kak
"""Anggun"" -is:retweet lang:id",2025-06-20 14:11:45+00:00,"@dick76083 @republicandeist @polzhengzhi @lin_linvy Keliatan kan agak gmn gitu, cb kalo andai nama nya full muslim ato mixed dgn nama lokal

Muhammad Rayhan Zakaria
Nabila Aisyah Ramadhani
Dewi Kartika Fatimah
Putri Zaria Cantika
Ahmad Indra Lesmana
Fajar Pratama Nugraha
Teuku Firman Hidayat

Keliatan kan anggun dan cocok ny","Keliatan kan agak gmn gitu, cb kalo andai nama nya full muslim ato mixed dgn nama lokal Muhammad Rayhan Zakaria Nabila Aisyah Ramadhani Dewi Kartika Fatimah Putri Zaria Cantika Ahmad Indra Lesmana Fajar Pratama Nugraha Teuku Firman Hidayat Keliatan kan anggun dan cocok ny"
