user_id,item_id,interaction
6,2,1.0
19,11,1.0
14,7,1.0
10,21,1.0
7,26,1.0
6,2,1.0
18,0,1.0
10,2,1.0
10,4,1.0
3,14,1.0
7,13,1.0
2,2,1.0
1,0,1.0
11,4,1.0
5,25,1.0
1,22,1.0
0,13,1.0
11,6,1.0
11,26,1.0
16,8,1.0
9,14,1.0
15,14,1.0
14,25,1.0
14,9,1.0
18,27,1.0
11,12,1.0
19,18,1.0
2,6,1.0
4,16,1.0
18,19,1.0
6,28,1.0
8,3,1.0
6,29,1.0
17,4,1.0
3,22,1.0
13,6,1.0
17,12,1.0
8,14,1.0
1,10,1.0
19,28,1.0
14,3,1.0
6,12,1.0
11,6,1.0
7,26,1.0
14,18,1.0
2,21,1.0
13,27,1.0
16,1,1.0
3,9,1.0
17,12,1.0
7,29,1.0
3,24,1.0
1,20,1.0
5,5,1.0
9,27,1.0
3,27,1.0
17,11,1.0
11,11,1.0
1,19,1.0
9,29,1.0
3,29,1.0
13,10,1.0
15,25,1.0
14,22,1.0
7,27,1.0
13,24,1.0
7,6,1.0
15,29,1.0
12,0,1.0
17,0,1.0
14,24,1.0
12,26,1.0
8,29,1.0
14,24,1.0
12,19,1.0
0,12,1.0
6,8,1.0
8,2,1.0
0,6,1.0
11,5,1.0
7,7,1.0
10,26,1.0
18,8,1.0
16,29,1.0
7,4,1.0
2,0,1.0
2,18,1.0
0,9,1.0
4,11,1.0
9,23,1.0
6,14,1.0
8,26,1.0
6,21,1.0
8,23,1.0
7,8,1.0
11,19,1.0
1,16,1.0
0,29,1.0
15,16,1.0
4,25,1.0
